instance,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints,Choices-1,Conflicts/Choices-1,Avg_Conflict_Levels-1,Avg_LBD_Levels-1,Learnt_from_Conflict-1,Learnt_from_Loop-1,Frac_Learnt_from_Conflict-1,Frac_Learnt_from_Loop-1,Literals_in_Conflict_Nogoods-1,Literals_in_Loop_Nogoods-1,Frac_Literals_in_Conflict_Nogoods-1,Frac_Literals_in_Loop_Nogoods-1,Removed_Nogoods-1,Learnt_Binary-1,Learnt_Ternary-1,Learnt_Others-1,Frac_Removed_Nogood-1,Frac_Learnt_Binary-1,Frac_Learnt_Ternary-1,Frac_Learnt_Others-1,Skipped_Levels_while_Backjumping-1,Avg_Skipped_Levels_while_Backjumping-1,Longest_Backjumping-1,Running_Avg_Conflictlevel-1,Running_Avg_LBD-1
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init14,1,0.0051,0.7601,0.0027,0.0243,0.97,0.231,1,45872,36319,9553,124172,2.7069,39457,11967,0,0,40246,40166,40,40,0,0.998,0.001,0.001,0.0,3895,765,129,3001,0.1964,0.0331,0.7705,88204,35346,622,0.7103,0.2847,0.005,1682,0.3044,20.9863,4.0098,512,0,1.0,0.0,13085,0,1.0,0.0,0,37,28,447,0.0,0.0723,0.0547,0.873,1674,3.2695,30,15.32,3.53
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init9,1,0.0052,0.7602,0.0028,0.0246,0.9696,0.2312,1,43493,34379,9114,117607,2.704,37497,11385,0,0,38250,38174,38,38,0,0.998,0.001,0.001,0.0,3780,732,130,2918,0.1937,0.0344,0.772,83540,33475,592,0.7103,0.2846,0.005,2101,0.2437,15.2617,3.1816,512,0,1.0,0.0,9923,0,1.0,0.0,0,54,38,420,0.0,0.1055,0.0742,0.8203,2097,4.0957,41,7.95,3.07
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init10,1,0.0051,0.7601,0.0027,0.0243,0.97,0.231,1,45927,36361,9566,124329,2.7071,39457,11967,0,0,40246,40166,40,40,0,0.998,0.001,0.001,0.0,3938,766,132,3040,0.1945,0.0335,0.772,88308,35395,626,0.7103,0.2847,0.005,1938,0.2642,15.8105,3.209,512,0,1.0,0.0,9451,0,1.0,0.0,0,37,39,436,0.0,0.0723,0.0762,0.8516,1931,3.7715,38,10.09,2.82
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6,1,0.0054,0.7602,0.0029,0.0249,0.9692,0.2315,1,41004,32355,8649,110728,2.7004,35537,10803,0,0,36254,36182,36,36,0,0.998,0.001,0.001,0.0,3621,697,125,2799,0.1925,0.0345,0.773,78668,31506,554,0.7105,0.2845,0.005,2156,0.2375,16.6016,3.2734,512,0,1.0,0.0,9613,0,1.0,0.0,0,52,22,438,0.0,0.1016,0.043,0.8555,2145,4.1895,49,10.79,3.28
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init7,1,0.0054,0.7602,0.0029,0.0249,0.9692,0.2315,1,41004,32355,8649,110728,2.7004,35537,10803,0,0,36254,36182,36,36,0,0.998,0.001,0.001,0.0,3630,697,125,2808,0.192,0.0344,0.7736,78668,31506,554,0.7105,0.2845,0.005,2227,0.2299,14.7559,3.3066,512,0,1.0,0.0,8427,0,1.0,0.0,0,42,18,452,0.0,0.082,0.0352,0.8828,2207,4.3105,56,11.66,3.48
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721305339.dat.data,1,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1,2683,325,2358,322,0.12,2725,4699,0,0,5024,4456,280,288,0,0.8869,0.0557,0.0573,0.0,8706,2011,98,6597,0.231,0.0113,0.7578,1,4,317,0.0031,0.0124,0.9845,597,0.8576,31.9766,11.125,512,0,1.0,0.0,15465,0,1.0,0.0,400,1,4,507,0.7812,0.002,0.0078,0.9902,569,1.1113,6,30.04,10.21
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data,1,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1,2683,342,2341,335,0.1249,2725,4699,0,0,5024,4456,280,288,0,0.8869,0.0557,0.0573,0.0,8706,2011,98,6597,0.231,0.0113,0.7578,4,2,329,0.0119,0.006,0.9821,622,0.8264,29.5428,10.5117,514,0,1.0,0.0,15413,0,1.0,0.0,420,0,1,513,0.8171,0.0,0.0019,0.9981,599,1.1654,16,27.11,9.08
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data,1,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1,2683,342,2341,335,0.1249,2725,4699,0,0,5024,4456,280,288,0,0.8869,0.0557,0.0573,0.0,8706,2011,98,6597,0.231,0.0113,0.7578,1,4,330,0.003,0.0119,0.9851,630,0.8127,28.3887,10.9902,512,0,1.0,0.0,15065,0,1.0,0.0,418,1,8,503,0.8164,0.002,0.0156,0.9824,604,1.1797,5,27.38,10.99
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data,1,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1,2683,342,2341,333,0.1241,2725,4699,0,0,5024,4456,280,288,0,0.8869,0.0557,0.0573,0.0,8706,2011,98,6597,0.231,0.0113,0.7578,3,2,328,0.009,0.006,0.985,625,0.8224,16.2549,8.749,514,0,1.0,0.0,17276,0,1.0,0.0,420,0,4,510,0.8171,0.0,0.0078,0.9922,612,1.1907,35,14.97,8.86
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data,1,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1,2683,342,2341,328,0.1223,2725,4699,0,0,5024,4456,280,288,0,0.8869,0.0557,0.0573,0.0,8706,2011,98,6597,0.231,0.0113,0.7578,0,3,325,0.0,0.0091,0.9909,641,0.7988,30.3066,13.834,512,0,1.0,0.0,15510,0,1.0,0.0,413,0,6,506,0.8066,0.0,0.0117,0.9883,626,1.2227,19,23.95,11.91
