instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/riposte/sparkskein/dsc/function_skein_512_hash_1_dsc.asp.ground,0.389,0.6082,0.0697,0.3108,0.5284,0.0217,1.0,0.0,0.0,0.0,0.0,0.0,6299.0,7456.0,0.0,0.0,12819.0,11625.0,1062.0,132.0,0.0,0.9069,0.0828,0.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/function_skein_512_hash_2_dsc.asp.ground,0.3522,0.6088,0.0473,0.2844,0.6243,0.0351,1.0,0.0,0.0,0.0,0.0,0.0,31420.0,34699.0,0.0,0.0,61631.0,56719.0,3856.0,1056.0,0.0,0.9203,0.0626,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/function_skein_512_hash_3_dsc.asp.ground,0.3456,0.6079,0.0413,0.2838,0.6357,0.0362,1.0,0.0,0.0,0.0,0.0,0.0,57536.0,62221.0,0.0,0.0,111857.0,103227.0,6650.0,1980.0,0.0,0.9228,0.0595,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_10_dsc.asp.ground,0.2965,0.6607,0.0316,0.2963,0.6326,0.0281,1.0,0.0,0.0,0.0,0.0,0.0,95245.0,93228.0,0.0,0.0,192876.0,179328.0,10908.0,2640.0,0.0,0.9298,0.0566,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_11_dsc.asp.ground,0.3428,0.6098,0.0392,0.2851,0.6302,0.0356,1.0,0.0,0.0,0.0,0.0,0.0,62731.0,66969.0,0.0,0.0,121375.0,111475.0,7788.0,2112.0,0.0,0.9184,0.0642,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_12_dsc.asp.ground,0.3435,0.6103,0.0393,0.2864,0.6273,0.0344,1.0,0.0,0.0,0.0,0.0,0.0,65043.0,69797.0,0.0,0.0,125928.0,115504.0,8312.0,2112.0,0.0,0.9172,0.066,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_13_dsc.asp.ground,0.3131,0.6443,0.035,0.2938,0.6283,0.0301,1.0,0.0,0.0,0.0,0.0,0.0,72099.0,72906.0,0.0,0.0,143979.0,133301.0,8566.0,2112.0,0.0,0.9258,0.0595,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_14_dsc.asp.ground,0.314,0.6433,0.0344,0.2949,0.6265,0.0292,1.0,0.0,0.0,0.0,0.0,0.0,74411.0,75474.0,0.0,0.0,148402.0,137200.0,9090.0,2112.0,0.0,0.9245,0.0613,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_15_dsc.asp.ground,0.3428,0.6098,0.0391,0.2851,0.6302,0.0356,1.0,0.0,0.0,0.0,0.0,0.0,62727.0,66959.0,0.0,0.0,121361.0,111461.0,7788.0,2112.0,0.0,0.9184,0.0642,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_16_dsc.asp.ground,0.3435,0.6103,0.0397,0.2857,0.63,0.0349,1.0,0.0,0.0,0.0,0.0,0.0,63984.0,68511.0,0.0,0.0,123911.0,113881.0,7918.0,2112.0,0.0,0.9191,0.0639,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
