instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-720.cnf,350.000000000,1493.000000000,343.000000000,1487.000000000,0.020408163,0.004034970,0.000000000,0.230665770,0.509863259,0.581940647,0.000000000,1.000000000,0.705547672,0.008840466,0.058286876,0.008746356,0.011661808,0.142579643,0.000000000,0.000000000,0.967720242,0.000000000,0.008840466,0.266782127,0.003362475,0.016812374,2.617102104,0.235114491,0.185385036,0.000000000,1.000000000,3.306483712,0.004456504,0.366044007,0.000672495,0.011432414,2.279233291,0.505716207,0.017249594,0.260482955,0.006724950,0.032952253,0.000000000,0.013211111,0.236871135,0.004034970,0.026227303,2.933935945,0.110488936,0.250455565,0.055555556,0.285714286,2.307298042,0.020000000,0.383005200,0.606937583,0.003770447,1.000000000,0.687548052,0.070129649,0.539061317,0.190965492,0.381699341,0.086866470,0.677961343,0.009372103,0.458529040,0.174272322,0.023812309,0.117020588,0.043400721,0.073831828,0.000000000,0.238340050,0.172302111,0.977711577,0.000000000,0.492481203,0.396501458,3.660000000,0.000000000,0.000000000,0.014577259,0.244897959,0.244897959,0.000000000,14.811500000,0.249332000,75.700100000,0.084553500,76.000000000,68.000000000,84.000000000,1.001340000,0.200298000,0.861510000,0.041163300,2.360000000,12.174800000,0.241644000,76.007300000,0.085016500,76.000000000,68.000000000,84.000000000,0.415393000,0.385562000,0.848306000,0.039224900,2.580000000,0.337332150,0.645898719,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-496.cnf,350.000000000,1493.000000000,345.000000000,1488.000000000,0.014492754,0.003360215,0.000000000,0.231854839,0.498543907,0.582972022,0.000000000,1.000000000,0.669994258,0.008771622,0.052791567,0.008695652,0.011594203,0.121309021,0.000000000,0.000000000,0.973790323,0.000000000,0.008771622,0.287115884,0.003360215,0.020161290,2.666972930,0.225135805,0.179796732,0.000000000,1.000000000,3.328028432,0.004133552,0.401325995,0.000000000,0.010752688,2.257436905,0.473790323,0.016951067,0.274491896,0.006720430,0.037634409,0.000000000,0.013250267,0.239640266,0.004704301,0.031586022,2.925075545,0.111402685,0.240844339,0.044326241,0.311111111,2.303303597,0.020000000,0.414460225,0.575201681,0.002421124,1.000000000,0.739133182,0.092294529,0.585826789,0.220970803,0.418233578,0.093774998,0.642040862,0.006145339,0.407059966,0.168702891,0.028140169,0.125220197,0.050396145,0.081583414,0.000000000,0.285839562,0.141162955,1.251769072,0.000000000,0.500000000,0.481159420,3.700000000,0.000000000,0.000000000,0.008695652,0.176811594,0.176811594,0.000000000,11.287800000,0.328597000,77.837900000,0.084747600,78.000000000,69.000000000,86.000000000,0.991051000,0.201878000,0.861451000,0.042745300,2.320000000,9.484240000,0.318640000,77.534400000,0.082831700,78.000000000,70.000000000,86.000000000,0.424090000,0.401314000,0.851037000,0.043924200,2.660000000,0.340330669,0.644957676,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-806.cnf,350.000000000,1493.000000000,346.000000000,1489.000000000,0.011560694,0.002686367,0.000000000,0.232370719,0.496418178,0.580233151,0.000000000,1.000000000,0.617193529,0.008703518,0.035278715,0.008670520,0.011560694,0.062416103,0.000000000,0.000000000,0.988582942,0.000000000,0.008703518,0.296174887,0.002014775,0.016118200,2.718537838,0.214169432,0.160667584,0.000000000,1.000000000,3.231602756,0.004330408,0.414667519,0.000671592,0.010073875,2.323755968,0.497649429,0.016848022,0.284922997,0.004029550,0.030893217,0.000000000,0.013264950,0.228727349,0.004701142,0.027535259,2.903151613,0.109632974,0.237113079,0.051103368,0.250000000,2.282478988,0.020000000,0.372354509,0.603542577,0.004369448,1.000000000,0.693506053,0.079094082,0.540617140,0.173950235,0.365776851,0.084977254,0.766071505,0.004322846,0.608064154,0.154749573,0.019415960,0.113916294,0.041986621,0.070288550,0.000000000,0.215835858,0.172407691,0.965554167,0.000000000,0.489795918,0.352601156,3.040000000,0.000000000,0.000000000,0.031791908,0.265895954,0.265895954,0.000000000,16.507900000,0.264808000,76.220100000,0.084581400,76.000000000,68.000000000,85.000000000,0.988067000,0.200879000,0.857852000,0.044276900,2.300000000,13.721200000,0.248176000,76.125900000,0.084828500,76.000000000,68.000000000,84.000000000,0.401300000,0.409497000,0.843976000,0.055684900,2.600000000,0.323812421,0.571758827,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-185.cnf,350.000000000,1493.000000000,338.000000000,1470.000000000,0.035502959,0.015646259,0.000000000,0.229931973,0.493650794,0.585562241,0.000000000,1.000000000,0.732521418,0.009014612,0.069416474,0.008875740,0.011834320,0.189401044,0.000000000,0.000000000,0.953061224,0.000000000,0.009014612,0.300163396,0.003401361,0.019727891,2.720946878,0.217570940,0.163597491,0.000000000,0.714285714,3.305675865,0.004363402,0.386007007,0.000680272,0.012244898,2.271859140,0.486394558,0.017622670,0.293256407,0.006802721,0.037414966,0.000000000,0.013832200,0.253819227,0.005442177,0.029251701,3.012458860,0.107875037,0.250177910,0.053658537,0.256410256,2.340850305,0.020000000,0.384686398,0.567379969,0.000413634,0.881403591,0.698338901,0.085795210,0.540378143,0.203748205,0.390819005,0.085294493,0.677603031,0.002968742,0.322732398,0.172187932,0.025957033,0.109936539,0.041845088,0.070548540,0.000000000,0.242762173,0.167091463,0.986038896,0.000000000,0.498687090,0.363905325,3.840000000,0.000000000,0.000000000,0.011834320,0.322485207,0.322485207,0.000000000,14.898800000,0.258060000,74.101600000,0.084712100,74.000000000,66.000000000,82.000000000,0.995087000,0.205188000,0.858855000,0.042887700,2.340000000,12.208600000,0.254685000,74.049100000,0.082614200,74.000000000,66.000000000,82.000000000,0.405026000,0.392513000,0.844783000,0.040457900,2.640000000,0.334499523,0.593173920,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-592.cnf,350.000000000,1493.000000000,342.000000000,1486.000000000,0.023391813,0.004710633,0.000000000,0.230148048,0.490421714,0.582484358,0.000000000,1.000000000,0.687705266,0.008858508,0.057245842,0.008771930,0.014619883,0.134222682,0.000000000,0.000000000,0.971063257,0.000000000,0.008858508,0.288389537,0.003364738,0.017496635,2.685442904,0.226836939,0.164285318,0.000000000,1.000000000,3.273734295,0.004421383,0.367311534,0.000672948,0.010767160,2.261631639,0.500672948,0.017268384,0.281920487,0.006729475,0.033647376,0.000000000,0.013430873,0.236670848,0.004710633,0.025572005,2.951353206,0.109590124,0.241458867,0.060606061,0.250000000,2.300398006,0.020000000,0.381491477,0.583602345,0.000904229,1.000000000,0.688856146,0.096500391,0.542521973,0.197892653,0.366656470,0.082532829,0.658842149,0.006577142,0.282111866,0.151989715,0.022333112,0.117009008,0.041706832,0.070581557,0.000000000,0.245726582,0.171621669,1.016605093,0.000000000,0.497005988,0.421052632,3.640000000,0.000000000,0.000000000,0.008771930,0.175438596,0.175438596,0.000000000,15.282600000,0.260119000,75.386800000,0.084152500,75.000000000,67.000000000,84.000000000,0.978680000,0.206353000,0.855936000,0.042888600,2.280000000,12.649800000,0.261481000,75.384700000,0.086987900,75.000000000,67.000000000,84.000000000,0.403987000,0.396564000,0.842238000,0.044169900,2.660000000,0.332105627,0.601787229,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-289.cnf,350.000000000,1493.000000000,342.000000000,1484.000000000,0.023391813,0.006064690,0.000000000,0.230458221,0.491936208,0.586271262,0.000000000,1.000000000,0.715888738,0.008892120,0.066390004,0.008771930,0.014619883,0.172739523,0.000000000,0.000000000,0.959568733,0.000000000,0.008892120,0.281939600,0.003369272,0.016846361,2.711534096,0.215622664,0.169327273,0.000000000,1.000000000,3.288036234,0.004277597,0.399143632,0.000673854,0.010107817,2.298062595,0.481805930,0.017303479,0.277221347,0.006064690,0.031671159,0.000000000,0.013448936,0.228993905,0.005390836,0.028975741,2.914927376,0.109369262,0.247473601,0.048625793,0.277777778,2.302297968,0.020000000,0.376418427,0.616129388,0.004561126,1.000000000,0.708120618,0.078189367,0.554478046,0.181993853,0.343581986,0.087395817,0.693851973,0.006880118,0.314585314,0.165160462,0.026552952,0.120450863,0.042517347,0.069100732,0.000000000,0.259128984,0.161070020,1.084200925,0.000000000,0.496403469,0.365497076,3.900000000,0.000000000,0.000000000,0.035087719,0.263157895,0.263157895,0.000000000,12.831300000,0.320699000,75.736400000,0.085368100,76.000000000,68.000000000,84.000000000,0.975305000,0.209160000,0.855743000,0.044679900,2.260000000,10.750200000,0.296384000,75.675200000,0.085479500,76.000000000,68.000000000,84.000000000,0.401319000,0.402162000,0.845083000,0.040798100,2.640000000,0.338654299,0.618617772,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-345.cnf,350.000000000,1493.000000000,343.000000000,1486.000000000,0.020408163,0.004710633,0.000000000,0.230820996,0.496657694,0.582839832,0.000000000,1.000000000,0.703110765,0.008844453,0.060657651,0.008746356,0.014577259,0.148219224,0.000000000,0.000000000,0.967025572,0.000000000,0.008844453,0.301450271,0.003364738,0.018842530,2.719713089,0.225681437,0.166776687,0.000000000,0.789473684,3.269557797,0.004369254,0.393923883,0.000672948,0.012786003,2.270872586,0.493943472,0.017198419,0.290857634,0.006729475,0.037012113,0.000000000,0.013449893,0.252866696,0.004037685,0.030282638,3.004438466,0.111986192,0.261935460,0.055128205,0.305555556,2.376503119,0.020000000,0.387644566,0.574326258,0.000426309,0.963757646,0.691127284,0.082982826,0.559380352,0.212395264,0.392737532,0.091698108,0.691641116,0.003203078,0.312235150,0.179032840,0.021658477,0.129798995,0.041689071,0.077549352,0.000000000,0.250149544,0.151279559,1.141275394,0.000000000,0.500000000,0.434402332,2.960000000,0.000000000,0.000000000,0.008746356,0.297376093,0.297376093,0.000000000,14.285000000,0.267676000,75.819300000,0.085289300,76.000000000,68.000000000,84.000000000,0.995511000,0.201363000,0.859688000,0.041899900,2.340000000,12.134300000,0.256757000,75.966500000,0.084109200,76.000000000,68.000000000,84.000000000,0.411265000,0.395879000,0.849465000,0.040362500,2.720000000,0.326242278,0.594107530,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-583.cnf,350.000000000,1493.000000000,343.000000000,1486.000000000,0.020408163,0.004710633,0.000000000,0.230820996,0.499461642,0.581863490,0.000000000,1.000000000,0.667650717,0.008828757,0.056051123,0.008746356,0.014577259,0.129429009,0.000000000,0.000000000,0.972409152,0.000000000,0.008828757,0.270696587,0.003364738,0.019515478,2.613404260,0.214715013,0.167217123,0.000000000,0.714285714,3.285692995,0.004290776,0.336235106,0.000672948,0.008748318,2.158909673,0.489905787,0.017123866,0.266053504,0.006729475,0.034993271,0.000000000,0.013285053,0.234506475,0.004710633,0.026917900,2.916423213,0.111144950,0.243918185,0.058823529,0.285714286,2.312476807,0.020000000,0.387997805,0.569355816,0.002537848,0.902308901,0.700356730,0.091021397,0.559004412,0.202788785,0.397631196,0.083146091,0.631986008,0.002095344,0.284812977,0.149156768,0.025021349,0.110619400,0.042993102,0.074006406,0.000000000,0.268512744,0.169458378,1.040799096,0.000000000,0.499378882,0.358600583,3.440000000,0.000000000,0.014577259,0.043731778,0.227405248,0.227405248,0.000000000,15.127300000,0.255163000,75.969700000,0.085150900,76.000000000,68.000000000,84.000000000,0.983035000,0.201167000,0.857271000,0.042278900,2.300000000,12.308200000,0.251086000,75.894500000,0.083332400,76.000000000,68.000000000,84.000000000,0.405583000,0.389001000,0.843213000,0.040428900,2.660000000,0.329958411,0.587396005,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-596.cnf,350.000000000,1493.000000000,339.000000000,1482.000000000,0.032448378,0.007422402,0.000000000,0.228744939,0.498268106,0.588933835,0.000000000,1.000000000,0.760731954,0.009018746,0.076995844,0.008849558,0.014749263,0.221393915,0.000000000,0.000000000,0.943319838,0.000000000,0.009018746,0.286434078,0.003373819,0.018893387,2.703614136,0.232154289,0.176418484,0.000000000,1.000000000,3.410222843,0.004580034,0.369875713,0.000674764,0.010796221,2.304292485,0.512145749,0.017719020,0.279955304,0.006747638,0.034412955,0.000000000,0.013549913,0.245596075,0.005398111,0.026990553,2.979692458,0.109666740,0.255217020,0.053846154,0.257352941,2.352610727,0.020000000,0.397801756,0.571134464,0.000035722,1.000000000,0.734123206,0.103245895,0.571830694,0.214796500,0.392521709,0.089046203,0.660253806,0.007617529,0.483678632,0.163620111,0.029014826,0.116792285,0.046054391,0.074687900,0.000000000,0.245374102,0.176868947,1.035799142,0.000000000,0.495972382,0.392330383,3.760000000,0.000000000,0.000000000,0.002949853,0.303834808,0.303834808,0.000000000,13.014700000,0.287697000,74.886600000,0.085576600,75.000000000,67.000000000,83.000000000,0.998448000,0.205121000,0.859822000,0.041846400,2.340000000,10.624200000,0.271201000,75.105500000,0.082903200,75.000000000,67.000000000,83.000000000,0.411013000,0.385588000,0.848398000,0.038719600,2.580000000,0.345294079,0.651904786,2.000000000
instances/sat/data/3CNF-V350-CSSC14/instances/Sat_Data/3cnf-v350/touchsat-3cnf-v350-c1493-331.cnf,350.000000000,1493.000000000,345.000000000,1488.000000000,0.014492754,0.003360215,0.000000000,0.231854839,0.493279570,0.586236473,0.000000000,1.000000000,0.658131635,0.008757987,0.048009742,0.008695652,0.011594203,0.103841327,0.000000000,0.000000000,0.978494624,0.000000000,0.008757987,0.269092635,0.003360215,0.018145161,2.606398011,0.224048937,0.170002486,0.000000000,1.000000000,3.223125904,0.004219261,0.378607300,0.000672043,0.010752688,2.244946637,0.483198925,0.016958859,0.263311061,0.006720430,0.034274194,0.000000000,0.013150906,0.236755805,0.004704301,0.025537634,2.930061417,0.111884149,0.255326256,0.057057057,0.272727273,2.328999631,0.020000000,0.377262284,0.609715334,0.000345473,1.000000000,0.695832997,0.080389745,0.559064739,0.175112429,0.366785451,0.084308285,0.636693149,0.004977872,0.270886543,0.155834981,0.026483822,0.113650107,0.043333788,0.073063160,0.000000000,0.275341333,0.162498132,1.079853057,0.000000000,0.488402062,0.434782609,3.380000000,0.000000000,0.000000000,0.005797101,0.275362319,0.275362319,0.000000000,14.379500000,0.289453000,76.688700000,0.084664200,77.000000000,68.000000000,85.000000000,0.986584000,0.207803000,0.858850000,0.050755300,2.360000000,11.814500000,0.263855000,76.479600000,0.081862400,76.000000000,68.000000000,85.000000000,0.406253000,0.386320000,0.845344000,0.039888700,2.620000000,0.335893072,0.580846226,2.000000000
