instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-50/neclaftp3001.k50.cnf,1111075.000000000,3323459.000000000,298149.000000000,1686500.000000000,2.726576309,0.970624963,33.500000000,0.176785651,0.433907505,0.722929376,0.000000000,1.000000000,1.466828150,0.000010791,1.035647379,0.000006708,0.000969314,1.207455003,0.000000000,0.227336496,0.780448859,0.320000000,0.000010791,1.813828432,0.000002965,0.000648088,2.532251218,0.060120318,0.121561205,0.000000000,0.951482480,1.532878084,0.000004334,2.395340499,0.000000593,0.000452416,2.203109296,0.468696709,0.000023787,2.419495290,0.000002372,0.000539579,148.780000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.200000000,0.571704357,0.538629904,0.000059184,1.000000000,0.999691596,0.195651936,0.883870686,0.268903610,0.496130100,0.206349363,0.554221694,-0.000000000,0.500000000,0.308572640,0.000500878,0.295219541,0.136006977,0.241105851,6.140000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8.720000000,172319.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,14.041600000,0.000000000,4.021920000,0.000000000,3.160000000,60618.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.040980000,0.000000000,1.357520000,0.000000000,3.140000000,0.060507414,0.207720563,2.040000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-200/dme5ptimo.k200.cnf,379386.000000000,800287.000000000,37036.000000000,214063.000000000,9.243708824,2.738558275,5.840000000,0.173014486,0.331563535,0.642389888,0.000000000,1.000000000,1.171989113,0.000096325,1.155728720,0.000054002,0.005454153,0.860887910,0.000000000,0.023479069,0.521668854,0.020000000,0.000096325,2.339124436,0.000023358,0.006535459,1.971474580,0.062490445,0.163753073,0.000000000,0.997140815,1.592785966,0.000050233,2.791963160,0.000009343,0.005745972,1.750582097,0.533922257,0.000093187,2.411208895,0.000023358,0.002503936,2.380000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,30.620000000,0.129560963,1.673649781,0.000000327,0.999984735,0.342016271,0.000997285,0.206208005,0.003039729,0.028936171,0.316498983,0.562399659,0.000000000,0.499974875,0.496542732,0.114498598,0.495410983,0.152388056,0.270589044,2.620000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000027001,0.000405011,0.009423264,0.018009504,3.700000000,273.400000000,1.614590000,3722.600000000,0.007805520,3724.000000000,3680.000000000,3745.000000000,0.730061000,0.926069000,0.923128000,0.020848400,2.220000000,1033.440000000,0.191423000,3739.330000000,0.011971700,3738.000000000,3687.000000000,3788.000000000,0.351021000,1.281920000,0.958217000,0.009923180,2.320000000,0.173937282,0.517413126,2.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-50/pdtvisvsar11.k50.cnf,10671.000000000,31476.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.060000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-200/pdtvisminmaxr3.k200.cnf,79365.000000000,230295.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,1.200000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-200/pdtvisheap03.k200.cnf,217905.000000000,650367.000000000,41496.000000000,263016.000000000,4.251229034,1.472727895,3.400000000,0.157769870,0.508235586,0.696120131,0.000000000,1.000000000,1.678378056,0.000083405,0.378982319,0.000048197,0.004795643,1.455933543,0.000000000,0.192657481,0.562425860,0.040000000,0.000083405,1.058712621,0.000022812,0.000615932,3.066399374,0.155515547,0.094443073,0.000000000,0.833333333,2.919620826,0.000032203,0.884211914,0.000007604,0.000220519,2.601366524,0.478301700,0.000075743,1.127715573,0.000019010,0.000935304,2.940000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.433929307,0.474485962,0.001382289,0.986455605,0.707629886,0.130463126,0.607892858,0.268874353,0.453339783,0.055151628,0.780010618,0.000000000,0.273237128,0.109671955,0.000236780,0.091435887,0.013035283,0.051264300,2.560000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,179.760000000,0.000000000,0.000000000,0.000626566,0.002289377,0.002289377,0.060000000,9238.500000000,1.234500000,5694.000000000,1.414210000,5694.000000000,0.000000000,0.000000000,2.613740000,1.075280000,1.598720000,0.645872000,2.200000000,3032.710000000,0.205848000,11361.900000000,0.009012490,11390.000000000,11213.000000000,11447.000000000,0.553946000,1.167410000,0.928136000,0.023558000,2.260000000,0.028103004,0.098393825,2.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-50/eijkbs1512.k50.cnf,46665.000000000,130234.000000000,15797.000000000,71072.000000000,1.954041907,0.832423458,1.740000000,0.222267560,0.464759807,0.757818782,0.000000000,1.000000000,1.431991358,0.000196231,4.517216705,0.000126606,0.118060391,1.189607129,0.000000000,0.295897118,0.813090950,0.020000000,0.000196231,1.035019003,0.000042211,0.003404998,2.872410118,0.135312506,0.117315944,0.000000000,1.000000000,2.620726255,0.000086457,0.914376686,0.000014070,0.001350743,2.383802603,0.544630797,0.003277684,2.566022468,0.000070351,0.026705313,0.500000000,0.000570417,1.283915042,0.000042211,0.060572377,4.237145751,0.161590309,0.665939894,0.001960712,0.900000000,3.504442810,8.720000000,0.540816952,0.555180293,0.000629737,1.000000000,0.941690075,0.112327604,0.830800398,0.285920621,0.546021817,0.063143303,1.065203168,-0.000000000,0.999933948,0.166692407,0.003310940,0.088429167,0.017860089,0.036891179,2.920000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,202.160000000,0.000000000,0.000000000,0.000000000,0.000063303,0.028802937,0.240000000,645.818000000,0.699438000,3628.640000000,0.331857000,3980.000000000,3926.000000000,4043.000000000,0.870636000,0.549331000,0.898668000,0.122179000,2.100000000,762.565000000,0.027597700,3982.090000000,0.008217960,3978.000000000,3950.000000000,4002.000000000,0.197135000,0.241582000,0.888697000,0.004063940,2.320000000,0.058100415,0.358844588,2.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-50/pdtvisvsa16a15.k50.cnf,34830.000000000,103283.000000000,6172.000000000,40075.000000000,4.643227479,1.577242670,0.480000000,0.154011229,0.452315226,0.749218054,0.000000000,1.000000000,1.775273338,0.000581824,0.352618606,0.000324044,0.003402463,1.543534433,0.000000000,0.183605739,0.553162820,0.020000000,0.000581824,1.813021841,0.000149719,0.015221460,3.081895070,0.136808427,0.111568046,0.000000000,0.906976744,2.822683988,0.000186159,1.775807507,0.000024953,0.005015596,2.557455888,0.425402371,0.000489919,1.637831340,0.000124766,0.011902682,0.060000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.404771750,0.573942390,0.000031387,0.991247934,0.678508331,0.073648822,0.584493641,0.205912659,0.433576644,0.063747964,0.720685389,-0.000000000,0.466075668,0.120824999,0.001466418,0.095325559,0.029555198,0.064626106,0.740000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,19.460000000,0.000000000,0.000000000,0.000000000,0.003888529,0.003888529,0.040000000,177.224000000,1.594690000,1736.900000000,0.137449000,1770.000000000,1678.000000000,1842.000000000,0.819240000,0.615233000,0.901207000,0.152654000,2.140000000,275.510000000,0.299975000,1746.650000000,0.105044000,1762.000000000,1688.000000000,1843.000000000,0.423052000,0.540425000,0.912818000,0.044336300,2.320000000,0.111687400,0.368223561,2.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-50/pdtvisns3p01.k50.cnf,183276.000000000,540737.000000000,32108.000000000,208685.000000000,4.708110128,1.591163716,2.840000000,0.153858687,0.508359163,0.715058247,0.000000000,1.000000000,1.711864727,0.000108758,0.378769782,0.000062290,0.001650679,1.531819160,0.000000000,0.210000719,0.609023169,0.020000000,0.000108758,1.984581287,0.000004792,0.003378297,3.066648536,0.138604861,0.133853114,0.000000000,1.000000000,2.920846316,0.000041850,1.921288862,0.000000000,0.001279440,2.595310866,0.472971225,0.000095099,1.603656348,0.000004792,0.002017395,1.800000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.060000000,0.440837567,0.408278601,0.000000006,1.000000000,0.615857892,0.186586456,0.585879283,0.309039012,0.479484902,0.053174918,0.958913945,-0.000000000,1.000000000,0.113031179,0.001635440,0.081282796,0.017668394,0.040686570,2.620000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,142.880000000,0.000000000,0.000000000,0.002055562,0.006540426,0.006540426,0.060000000,667.500000000,0.236232000,9088.000000000,0.003423490,9088.000000000,9066.000000000,9066.000000000,0.562116000,0.227580000,0.869763000,0.006749080,2.220000000,2423.670000000,0.810310000,8063.890000000,0.375193000,9058.000000000,0.000000000,9197.000000000,0.566863000,1.717870000,0.970699000,0.180725000,2.380000000,0.046939159,0.135566264,2.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-100/pdtvisvsar31.100.cnf,26785.000000000,75785.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.260000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
instances/sat/data/BMC08-CSSC14/instances/Sat_Data/bmc/bmc08-200/neclaftp2001.k200.cnf,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
