instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a2_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.520000000,0.132794822,1.681968448,0.000000000,0.950361086,0.479965456,0.000001474,0.126725623,0.001228961,0.019607644,0.084365904,1.043594129,0.000000000,0.292506901,0.236035300,0.008880157,0.065544647,0.023067652,0.044616741,0.420000000,1.441867729,0.134126106,1.536182104,0.000000000,0.500000000,0.537610619,17.060000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.919600000,0.531439000,206.589000000,0.050920200,207.000000000,195.000000000,218.000000000,0.996487000,0.265650000,0.896049000,0.287332000,2.240000000,34.830600000,0.225813000,206.793000000,0.050173400,207.000000000,196.000000000,219.000000000,0.829913000,0.298419000,0.911553000,0.034028000,2.400000000,0.146380883,0.765739871,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a3_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.520000000,0.132773610,1.682332038,0.000000000,0.950361086,0.479965456,0.000000871,0.126725526,0.001000563,0.019607644,0.084365904,1.043594129,0.000000000,0.292506901,0.236035291,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.125921829,1.633044248,0.000000000,0.500000000,0.690265487,16.980000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.754500000,0.299600000,206.584000000,0.051813700,206.000000000,195.000000000,219.000000000,1.000150000,0.215086000,0.889938000,0.025337900,2.200000000,34.369500000,0.149249000,206.500000000,0.045900300,207.000000000,194.000000000,219.000000000,0.821271000,0.285521000,0.910374000,0.018084900,2.460000000,0.146375004,0.765738512,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a5_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.680000000,0.132606555,1.685196065,0.000000000,0.950361086,0.479965456,0.000000368,0.126725506,0.000501675,0.017239885,0.084365905,1.043594130,0.000000000,0.292506901,0.236035241,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.125921829,1.633044248,-0.000000000,0.500000000,0.688053097,16.880000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.575400000,0.514254000,206.416000000,0.052475900,207.000000000,194.000000000,219.000000000,0.987712000,0.295607000,0.891225000,0.121970000,2.260000000,34.498000000,0.144493000,206.921000000,0.043743100,207.000000000,196.000000000,219.000000000,0.830415000,0.278045000,0.911398000,0.017652300,2.400000000,0.146384406,0.765747705,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a6_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.520000000,0.132604695,1.685219327,0.000000000,0.950361086,0.479965456,0.000000357,0.126725506,0.000680636,0.017239885,0.084365908,1.043594132,0.000000000,0.292506901,0.236035240,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.125921829,1.633044248,0.000000000,0.500000000,0.690265487,16.860000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.456900000,0.295232000,206.317000000,0.051310000,206.000000000,195.000000000,218.000000000,0.990336000,0.216017000,0.889375000,0.024612000,2.360000000,34.559800000,0.257777000,206.492000000,0.050259700,207.000000000,195.000000000,218.000000000,0.831247000,0.310014000,0.911676000,0.045407300,2.440000000,0.146450063,0.765727797,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a9_s4_satelite.cnf,904.000000000,4270.000000000,904.000000000,4270.000000000,0.000000000,0.000000000,0.000000000,0.211709602,0.442197995,0.567817057,0.000000000,1.000000000,1.147646692,0.005349371,2.048526445,0.002212389,0.081858407,0.954752739,0.000000000,0.107962529,0.790163934,0.000000000,0.005349371,1.208014932,0.001639344,0.030913349,2.429237333,0.155693556,0.260687686,0.000000000,0.952380952,1.488473098,0.001623801,0.773080633,0.000234192,0.011943794,2.154323243,0.496721311,0.006949597,1.312570921,0.000936768,0.046604215,0.000000000,0.010168432,1.252274973,0.001170960,0.082435597,3.613684952,0.241555283,0.460465226,0.023058937,0.523809524,3.248002350,1.560000000,0.132447638,1.688233939,0.000000000,0.950361022,0.479968321,0.000000046,0.126725510,0.000469514,0.016539509,0.084366213,1.043596428,0.000000000,0.292506900,0.236035284,0.008880609,0.065543810,0.023067650,0.044615734,0.440000000,1.455932865,0.148260317,1.407406832,0.000000000,0.500000000,0.424778761,22.540000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.701800000,0.316042000,206.396000000,0.050688800,206.000000000,195.000000000,219.000000000,0.997233000,0.223288000,0.889903000,0.026927000,2.200000000,34.615200000,0.146843000,206.747000000,0.044273200,207.000000000,195.000000000,218.000000000,0.823777000,0.280541000,0.911015000,0.017653200,2.440000000,0.146447973,0.765742365,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a17_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.520000000,0.132823381,1.681478825,0.000000000,0.950361086,0.479965456,0.000000857,0.126725923,0.001637300,0.019607644,0.084365904,1.043594128,-0.000000000,0.292506901,0.236035383,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.125553097,1.636064607,-0.000000000,0.500000000,0.688053097,17.440000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.726500000,0.404888000,206.532000000,0.049562700,206.000000000,196.000000000,218.000000000,0.989812000,0.232104000,0.890283000,0.047834400,2.280000000,34.532400000,0.158233000,206.546000000,0.050339500,207.000000000,195.000000000,218.000000000,0.843905000,0.271190000,0.911213000,0.021213400,2.420000000,0.146372133,0.765737947,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a19_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.540000000,0.132828326,1.681394216,0.000000000,0.950361086,0.479965456,0.000001562,0.126725629,0.001629109,0.019607644,0.084365904,1.043594129,0.000000000,0.292506901,0.236035302,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.155604889,1.416924572,0.000000000,0.500000000,0.566371681,17.000000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.549800000,0.273123000,206.349000000,0.043425400,206.000000000,195.000000000,218.000000000,0.993431000,0.206884000,0.888695000,0.020367700,2.260000000,34.630200000,0.142472000,207.002000000,0.044452900,207.000000000,195.000000000,219.000000000,0.825308000,0.271355000,0.911095000,0.016850800,2.380000000,0.146497110,0.765729822,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a21_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.520000000,0.132830046,1.681364765,0.000000000,0.950361086,0.479965456,0.000002776,0.126725595,0.001608010,0.019607644,0.084365904,1.043594129,0.000000000,0.292506901,0.236035292,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.125553097,1.636064607,-0.000000000,0.500000000,0.688053097,16.920000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.865800000,0.268245000,206.894000000,0.049882700,207.000000000,196.000000000,218.000000000,1.004780000,0.212987000,0.890296000,0.022215700,2.400000000,34.546800000,0.156280000,206.697000000,0.050745600,207.000000000,195.000000000,218.000000000,0.829044000,0.287156000,0.911407000,0.020239300,2.320000000,0.146532287,0.765717265,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a22_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.580000000,0.132830428,1.681358218,0.000000000,0.950361086,0.479965456,0.000002776,0.126725592,0.001604471,0.019607644,0.084365904,1.043594129,0.000000000,0.292506901,0.236035291,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.125553097,1.636064607,-0.000000000,0.500000000,0.688053097,16.980000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.489900000,0.343729000,206.651000000,0.051904300,207.000000000,195.000000000,219.000000000,0.995697000,0.227944000,0.889419000,0.029297800,2.240000000,34.462500000,0.146118000,206.898000000,0.044446500,207.000000000,195.000000000,219.000000000,0.834202000,0.278095000,0.911533000,0.018031500,2.380000000,0.146502537,0.765729709,2.000000000
instances/sat/data/CBMC/CBMC_LIN_S4/cbmc_binsearch-sat-lin.c_a24_s4_satelite.cnf,904.000000000,4269.000000000,904.000000000,4269.000000000,0.000000000,0.000000000,0.000000000,0.211759194,0.442073663,0.567745895,0.000000000,1.000000000,1.146889620,0.005331449,2.043883440,0.002212389,0.081858407,0.953950482,0.000000000,0.107987819,0.790349028,0.000000000,0.005331449,1.201935415,0.001639728,0.030686343,2.434834938,0.155722403,0.260383046,0.000000000,0.952000000,1.501560340,0.001624181,0.773080633,0.000234247,0.011946592,2.154323243,0.496837667,0.006951225,1.312570921,0.000936988,0.046615132,0.000000000,0.010135225,1.249327123,0.001171234,0.082454907,3.614918933,0.241673635,0.459872474,0.018229036,0.523809524,3.254571163,1.520000000,0.132830651,1.681354406,0.000000000,0.950361086,0.479965456,0.000004017,0.126725591,0.001602853,0.019607644,0.084365904,1.043594129,0.000000000,0.292506901,0.236035291,0.008880157,0.065544647,0.023067653,0.044616741,0.420000000,1.441867729,0.134126106,1.536182104,0.000000000,0.500000000,0.537610619,17.220000000,0.000000000,0.000000000,0.000000000,0.011061947,0.340707965,0.040000000,22.179700000,0.283231000,206.462000000,0.044810800,207.000000000,195.000000000,219.000000000,0.979785000,0.223242000,0.888378000,0.021014500,2.260000000,34.365100000,0.143005000,207.094000000,0.044190500,207.000000000,195.000000000,218.000000000,0.830910000,0.283023000,0.911562000,0.016610300,2.400000000,0.146454003,0.765724541,2.000000000
