instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_30360.cnf,4208.000000000,14537.000000000,2851.000000000,12747.000000000,0.475973343,0.140425198,0.040000000,0.223660469,0.461919676,0.791390934,0.000000000,1.000000000,1.522429113,0.001109304,0.363772429,0.000701508,0.004559804,1.339916957,0.000000000,0.270024319,0.756648623,-0.000000000,0.001109304,0.403057203,0.000549149,0.004000941,2.907319144,0.138315516,0.122174638,0.000000000,0.733333333,2.995004526,0.000479559,0.518048634,0.000078450,0.001882796,2.391824522,0.499568526,0.001244906,0.450474386,0.000392249,0.004863890,0.020000000,0.001759511,0.456188905,0.000313799,0.007766533,3.636284555,0.188425879,0.451510013,0.035631036,0.593406593,3.463283637,0.300000000,0.332064427,0.727979227,0.000026465,0.959907460,0.692654519,0.042376719,0.516927579,0.118084696,0.290992695,0.064376411,0.851979176,0.000002721,0.272937073,0.143477707,0.003440058,0.098654410,0.017308536,0.054105782,0.160000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,30.760000000,0.000000000,0.000701508,0.100315679,0.451069800,0.451069800,0.020000000,139.190000000,0.793907000,640.944000000,0.072182500,644.000000000,618.000000000,666.000000000,0.737104000,0.241391000,0.818721000,0.069147300,2.180000000,168.603000000,0.083264500,644.148000000,0.028896100,645.000000000,620.000000000,668.000000000,0.427689000,0.279350000,0.840799000,0.014915700,2.460000000,0.196073029,0.568677351,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_28141.cnf,5491.000000000,18710.000000000,3511.000000000,15978.000000000,0.563941897,0.170985105,0.060000000,0.219739642,0.464023914,0.783874225,0.000000000,1.000000000,1.553649685,0.000912694,0.366237825,0.000569638,0.003133011,1.363539698,0.000000000,0.256227313,0.739892352,0.000000000,0.000912694,0.410086695,0.000438102,0.003004131,2.940842553,0.131162400,0.121144420,0.000000000,0.636363636,2.982232997,0.000387691,0.541265601,0.000062586,0.001627237,2.424329163,0.491613469,0.000952855,0.465344676,0.000312930,0.003755163,0.040000000,0.001465050,0.447348104,0.000250344,0.005319815,3.672367103,0.189639985,0.450137776,0.036351834,0.582417582,3.470676819,0.400000000,0.324785193,0.744665451,0.000081725,0.976291188,0.684378262,0.036769433,0.510893379,0.111182781,0.281020066,0.067633007,0.871244044,0.000000391,0.291463717,0.153002142,0.003211221,0.103840237,0.017163886,0.054945828,0.220000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,69.280000000,0.000000000,0.012816861,0.059527200,0.223013386,0.223013386,0.020000000,153.963000000,0.475580000,788.383000000,0.083114900,793.000000000,768.000000000,818.000000000,0.702470000,0.341739000,0.824432000,0.096652700,2.160000000,214.964000000,0.075641200,793.605000000,0.025923500,793.500000000,767.000000000,819.000000000,0.477538000,0.276847000,0.846353000,0.012820800,2.400000000,0.233200074,0.532585561,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_28405.cnf,4527.000000000,15357.000000000,2874.000000000,13106.000000000,0.575156576,0.171753395,0.040000000,0.219288875,0.466668324,0.775044008,0.000000000,1.000000000,1.577588036,0.001116001,0.358812535,0.000695894,0.003827418,1.362049835,0.000000000,0.251487868,0.734014955,-0.000000000,0.001116001,0.399266679,0.000534107,0.004196551,2.944573875,0.131731193,0.124186369,0.000000000,0.714285714,2.959318719,0.000485788,0.521962768,0.000076301,0.001831222,2.454770037,0.498550282,0.001153753,0.455893921,0.000381505,0.004196551,0.020000000,0.001772585,0.438564128,0.000305204,0.005951473,3.648967357,0.188929017,0.436506593,0.036630037,0.628205128,3.441780444,0.340000000,0.320375764,0.746330251,0.000020697,0.969241931,0.674052371,0.036672185,0.496316954,0.109077729,0.278992068,0.066034717,0.874656751,0.000000436,0.305317128,0.148772199,0.003365982,0.100185099,0.015919104,0.054033501,0.160000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,44.200000000,0.000347947,0.005567154,0.033402923,0.249130132,0.249130132,0.040000000,130.450000000,0.211684000,645.968000000,0.026176600,646.500000000,622.000000000,667.000000000,0.743347000,0.244463000,0.825052000,0.022182500,2.120000000,173.756000000,0.067598600,644.586000000,0.030751700,644.000000000,619.000000000,669.000000000,0.450515000,0.235528000,0.845588000,0.013883700,2.440000000,0.233251324,0.573969735,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_25509.cnf,4870.000000000,16321.000000000,2944.000000000,13590.000000000,0.654211957,0.200956586,0.060000000,0.216629875,0.460419289,0.787433042,0.000000000,1.000000000,1.606181476,0.001109052,0.385008503,0.000679348,0.004415761,1.422452936,0.000000000,0.257468727,0.714128035,0.000000000,0.001109052,0.407456737,0.000515085,0.003899926,2.988704332,0.128184921,0.121238561,0.000000000,0.636363636,2.990061333,0.000465996,0.527018098,0.000073584,0.001913171,2.435522949,0.489771891,0.001125548,0.479742826,0.000367918,0.004341428,0.020000000,0.001795860,0.461068134,0.000367918,0.007211185,3.726873152,0.189690129,0.441319842,0.031952175,0.552380952,3.456171460,0.400000000,0.322787161,0.739591259,0.000002120,0.972192731,0.669068753,0.032797605,0.509170963,0.111703300,0.283607144,0.067194437,0.877558671,0.000001083,0.299162188,0.153883410,0.003238284,0.100555589,0.017937773,0.053077647,0.220000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,7.160000000,0.002377717,0.003057065,0.095788043,0.262907609,0.262907609,0.040000000,115.436000000,0.410082000,665.044000000,0.071593500,668.000000000,647.000000000,691.000000000,0.700177000,0.300329000,0.822009000,0.072406800,2.160000000,174.795000000,0.065772500,667.392000000,0.029216000,668.000000000,643.000000000,691.000000000,0.488738000,0.225335000,0.848174000,0.013090100,2.380000000,0.271602788,0.657552468,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_22184.cnf,4634.000000000,15842.000000000,3055.000000000,13729.000000000,0.516857610,0.153907786,0.040000000,0.222521669,0.466418222,0.784115452,0.000000000,1.000000000,1.553662937,0.001037073,0.367709918,0.000654664,0.003600655,1.349755103,0.000000000,0.271979023,0.757083546,-0.000000000,0.001037073,0.396734161,0.000509870,0.004006118,2.913347048,0.137488885,0.124440272,0.000000000,0.714285714,3.011778613,0.000458513,0.515847292,0.000072839,0.001966640,2.418588172,0.508558526,0.001117350,0.458122445,0.000364193,0.004370311,0.020000000,0.001629452,0.451921883,0.000291354,0.006191274,3.627610555,0.189390322,0.441014071,0.032030561,0.552380952,3.451498721,0.340000000,0.337028634,0.723753593,0.000033706,0.959984845,0.691350185,0.038757647,0.530074597,0.121103661,0.298607999,0.064308063,0.879535045,0.000000813,0.298854188,0.146670173,0.003151236,0.097527478,0.016057216,0.051359690,0.160000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,40.480000000,0.000327332,0.014729951,0.032405892,0.324713584,0.324713584,0.060000000,138.444000000,0.157810000,695.664000000,0.028153500,696.000000000,672.000000000,720.000000000,0.716342000,0.205025000,0.821113000,0.018001600,2.180000000,187.758000000,0.060216200,699.085000000,0.027148900,699.000000000,674.000000000,723.000000000,0.456119000,0.222779000,0.846083000,0.012792800,2.400000000,0.238543680,0.543577160,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_29562.cnf,4214.000000000,14274.000000000,2667.000000000,12112.000000000,0.580052493,0.178500661,0.040000000,0.220194848,0.461294495,0.789707830,0.000000000,1.000000000,1.578524864,0.001209589,0.378505429,0.000749906,0.005999250,1.391863490,0.000000000,0.260485469,0.725561427,-0.000000000,0.001209589,0.393087589,0.000577939,0.004045575,2.944924256,0.131036234,0.122453659,0.000000000,0.692307692,2.987719556,0.000515715,0.519647911,0.000082563,0.002064069,2.433407557,0.494550859,0.001264414,0.468545551,0.000330251,0.004706077,0.020000000,0.001918343,0.445320341,0.000330251,0.008338838,3.648519701,0.192495493,0.433461039,0.027567463,0.571428571,3.459280860,0.320000000,0.325499251,0.733859329,0.000135302,0.947878108,0.667818613,0.037666986,0.505927301,0.116075688,0.286645543,0.066278858,0.873872890,0.000000574,0.307860219,0.151866429,0.003529621,0.102259325,0.017209184,0.051928697,0.140000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,58.500000000,0.002624672,0.002624672,0.008623922,0.184101987,0.184101987,0.100000000,115.918000000,0.307129000,597.951000000,0.068354900,602.000000000,577.000000000,622.000000000,0.747731000,0.275416000,0.821499000,0.055713100,2.180000000,160.891000000,0.072593900,602.091000000,0.028393300,602.000000000,580.000000000,624.000000000,0.476119000,0.234127000,0.844990000,0.013559600,2.400000000,0.278190879,0.617418088,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_15200.cnf,5034.000000000,16989.000000000,3051.000000000,14215.000000000,0.649950836,0.195145973,0.060000000,0.214632431,0.458298529,0.781336465,0.000000000,1.000000000,1.607151514,0.001070072,0.377896642,0.000655523,0.004260898,1.407099890,0.000000000,0.245726345,0.716074569,0.000000000,0.001070072,0.412989936,0.000422089,0.004009849,3.010085196,0.127216395,0.122484649,0.000000000,0.714285714,2.991434059,0.000445677,0.528150700,0.000070348,0.001688357,2.445288289,0.483784734,0.001055846,0.476104560,0.000351741,0.003869152,0.020000000,0.001741815,0.446226770,0.000281393,0.006964474,3.723317582,0.190082364,0.445442759,0.034361851,0.564102564,3.457580785,0.420000000,0.316436241,0.755888378,0.000027445,0.986180253,0.668154370,0.031138842,0.490113444,0.104774226,0.278959424,0.067920823,0.887934535,0.000000141,0.324199253,0.155027820,0.002656639,0.104030795,0.016201009,0.052100589,0.180000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,57.420000000,0.000327761,0.000655523,0.049819731,0.245493281,0.245493281,0.080000000,133.761000000,0.348935000,682.154000000,0.075823100,686.000000000,665.000000000,709.000000000,0.724748000,0.287804000,0.824291000,0.069862200,2.180000000,188.503000000,0.063766800,685.596000000,0.026522600,686.000000000,660.000000000,708.000000000,0.476929000,0.234877000,0.848866000,0.012659000,2.420000000,0.273383722,0.587681045,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_21049.cnf,2097.000000000,7256.000000000,1506.000000000,6511.000000000,0.392430279,0.114421748,0.020000000,0.231300875,0.461182541,0.794043785,0.000000000,1.000000000,1.517368085,0.002081369,0.357587668,0.001328021,0.005976096,1.324436952,0.000000000,0.278605437,0.763477192,-0.000000000,0.002081369,0.395170645,0.000921517,0.007218553,2.822009385,0.152526373,0.128908094,0.000000000,0.692307692,3.048805772,0.000931308,0.510125193,0.000153586,0.004914760,2.358156702,0.511442175,0.002499601,0.436825215,0.000767931,0.008447243,-0.000000000,0.003252037,0.457761557,0.000614345,0.012594072,3.589120644,0.189899209,0.440555408,0.041610131,0.582417582,3.448557649,0.140000000,0.336063600,0.719852473,0.000639840,0.972491706,0.689674635,0.046805355,0.521071699,0.128496648,0.299433517,0.063718548,0.821842878,0.000004891,0.281234790,0.139723407,0.004846486,0.095491506,0.019362065,0.053479479,0.080000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,104.460000000,0.027224436,0.034528552,0.208499336,0.314741036,0.314741036,0.020000000,65.132400000,0.208872000,338.109000000,0.039442300,338.000000000,321.000000000,356.000000000,0.785222000,0.214742000,0.822698000,0.024278400,2.220000000,81.241300000,0.136735000,337.214000000,0.053563200,337.000000000,320.000000000,355.000000000,0.442278000,0.303192000,0.838515000,0.035206700,2.440000000,0.297177796,0.710295737,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_10756.cnf,2399.000000000,8104.000000000,1617.000000000,7044.000000000,0.483611626,0.150482680,0.020000000,0.229557070,0.468186950,0.787481069,0.000000000,1.000000000,1.526304914,0.001951160,0.364791609,0.001236858,0.006802721,1.340140231,0.000000000,0.274843839,0.758091993,-0.000000000,0.001951160,0.389141409,0.000993754,0.006246451,2.832307079,0.141056808,0.124214921,0.000000000,0.684210526,2.960935635,0.000841341,0.501477812,0.000141965,0.002981261,2.354377685,0.499148211,0.002182939,0.452315957,0.000709824,0.007808064,-0.000000000,0.003029590,0.450804414,0.000567859,0.010789324,3.575251795,0.194950330,0.429125941,0.038228438,0.571428571,3.462202454,0.160000000,0.331220643,0.700851104,0.000125912,0.964671515,0.667520357,0.050394241,0.499401988,0.130142894,0.295339309,0.065976495,0.842331786,0.000003149,0.266330984,0.144686187,0.004375027,0.098179605,0.018508064,0.053795696,0.080000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,36.040000000,0.020408163,0.032158318,0.106988250,0.307359307,0.307359307,0.020000000,65.992100000,0.232954000,365.553000000,0.037535900,365.000000000,348.000000000,384.000000000,0.769311000,0.233713000,0.821595000,0.024139800,2.260000000,88.807000000,0.089544300,364.595000000,0.037000600,364.000000000,348.000000000,382.000000000,0.481370000,0.245335000,0.841930000,0.017685100,2.480000000,0.271854334,0.639908690,2.000000000
instances/sat/data/CIRCUITFUZZ-CSSC14/instances/Sat_Data/circuit_fuzz/fuzz_100_12729.cnf,20819.000000000,71246.000000000,12857.000000000,60064.000000000,0.619273547,0.186168087,0.320000000,0.214055008,0.463159683,0.781352183,0.000000000,1.000000000,1.568840690,0.000250904,0.367531896,0.000155557,0.001011122,1.375513975,0.000000000,0.249633724,0.731319925,0.020000000,0.000250904,0.428839971,0.000116542,0.001098828,3.012499359,0.126390256,0.121958634,0.000000000,0.789473684,2.996297885,0.000106490,0.558198956,0.000016649,0.000582712,2.469853605,0.490793154,0.000249626,0.485659870,0.000083245,0.001115477,0.300000000,0.000410554,0.457300168,0.000066596,0.001531700,3.742552151,0.186665477,0.454904221,0.033485540,0.577777778,3.468545454,1.760000000,0.317409960,0.756553635,0.000011733,0.981687646,0.672953459,0.034937582,0.500818653,0.103927264,0.270264653,0.067541744,0.892588692,0.000000001,0.338082077,0.155305463,0.002699379,0.102618329,0.016544175,0.053818678,0.900000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,89.380000000,0.000000000,0.005211169,0.006844520,0.034844832,0.034844832,0.080000000,729.929000000,0.385056000,2893.290000000,0.013924700,2908.500000000,2849.000000000,2924.000000000,0.730452000,0.480976000,0.831270000,0.044186800,2.120000000,869.147000000,0.045928000,2883.530000000,0.013761700,2892.500000000,2832.000000000,2921.000000000,0.357253000,0.372711000,0.843524000,0.006852140,2.300000000,0.110444192,0.303840432,2.000000000
