instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/FACTORING/factor-3001-3041.cnf,434.000000000,2232.000000000,393.000000000,2076.000000000,0.104325700,0.075144509,0.000000000,0.189306358,0.362074502,0.501307772,0.000000000,1.000000000,1.067262542,0.008307716,0.217854294,0.005089059,0.010178117,1.017575547,0.000000000,0.155587669,0.579479769,0.000000000,0.008307716,0.177259139,0.004816956,0.012524085,1.774048709,0.026324460,0.038188613,0.000000000,0.200000000,0.939842312,0.004742189,0.372513392,0.001926782,0.012524085,1.284106946,0.601637765,0.003564302,0.538436263,0.002408478,0.012042389,0.000000000,0.010687794,0.189349786,0.003371869,0.016377649,2.631166196,0.328204349,0.330612636,0.057142857,0.563157895,2.940729756,0.020000000,0.162298403,0.900449020,0.006391905,0.609227011,0.363254327,0.050078321,0.356924838,0.051784441,0.064488128,0.029066682,0.406034446,0.000005112,0.047096597,0.047044903,0.022248882,0.040805882,0.024705682,0.025434715,0.000000000,0.002824190,0.185578090,0.947164098,0.000000000,0.497276688,0.259541985,6.600000000,0.015267176,0.015267176,0.020356234,0.020356234,0.020356234,0.000000000,24.132900000,0.290779000,76.384700000,0.076762400,76.000000000,69.000000000,84.000000000,0.955151000,0.273201000,0.818043000,0.047737200,2.340000000,29.375500000,0.171346000,76.412700000,0.078870100,76.000000000,69.000000000,84.000000000,0.671749000,0.333168000,0.837632000,0.037309300,2.660000000,0.314339084,0.952547523,2.000000000
instances/sat/data/FACTORING/factor-3001-3119.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.367677740,0.505583521,0.000000000,1.000000000,1.080705974,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.027882012,0.041770706,0.000000000,0.200000000,0.977068640,0.004735207,0.364171461,0.001925855,0.012036591,1.254516827,0.601829562,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010658497,0.191782593,0.003370246,0.016369764,2.645903110,0.329006787,0.331688770,0.057142857,0.610294118,2.935494069,0.020000000,0.167703615,0.899636277,0.011786608,0.610015482,0.363283030,0.050637774,0.356862892,0.052794380,0.066627489,0.029310757,0.403929226,0.000012450,0.047205556,0.047049889,0.022239465,0.040827147,0.024991387,0.025449873,0.000000000,0.003793124,0.152635808,1.071666218,0.000000000,0.499069846,0.246192893,7.380000000,0.015228426,0.015228426,0.215736041,0.241116751,0.241116751,0.000000000,23.958400000,0.283201000,76.151200000,0.078294600,76.000000000,69.000000000,84.000000000,0.944025000,0.272928000,0.815966000,0.048093000,2.320000000,29.175200000,0.196367000,76.050200000,0.079182600,76.000000000,69.000000000,84.000000000,0.655358000,0.331502000,0.834306000,0.040047800,2.560000000,0.283734642,0.962475059,2.000000000
instances/sat/data/FACTORING/factor-3001-3167.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.366233349,0.504746912,0.000000000,1.000000000,1.077665416,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.027543603,0.040906062,0.000000000,0.200000000,0.970511632,0.004708323,0.371414145,0.001925855,0.012036591,1.296592256,0.598459316,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010658961,0.191690860,0.003370246,0.016369764,2.646160099,0.328864781,0.331224359,0.057142857,0.610294118,2.930919864,0.020000000,0.166156897,0.900120294,0.011798731,0.609916873,0.363307109,0.049376158,0.356862289,0.052258566,0.064706698,0.029245705,0.403744088,0.000012357,0.047203492,0.047044971,0.022238865,0.040803942,0.024985224,0.025434717,0.000000000,0.003365057,0.138645472,1.051129297,0.000000000,0.481203008,0.332487310,6.260000000,0.015228426,0.015228426,0.020304569,0.020304569,0.020304569,0.000000000,23.941300000,0.288254000,76.246200000,0.079307000,76.000000000,69.000000000,84.000000000,0.942330000,0.269807000,0.815610000,0.047991600,2.340000000,29.090800000,0.168889000,76.266500000,0.078113500,76.000000000,69.000000000,84.000000000,0.644407000,0.333100000,0.835238000,0.037297200,2.580000000,0.285503252,0.962540137,2.000000000
instances/sat/data/FACTORING/factor-3001-3191.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.372010913,0.507784557,0.000000000,1.000000000,1.089087237,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.029020299,0.045036786,0.000000000,0.272727273,0.997800121,0.004705879,0.367042996,0.001925855,0.012036591,1.281796390,0.597496389,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010657106,0.192231450,0.003370246,0.016369764,2.646916146,0.329343436,0.332133061,0.057142857,0.610294118,2.936122589,0.020000000,0.171688305,0.903693947,0.011786606,0.637898596,0.363285999,0.049441745,0.356866892,0.052525405,0.068126282,0.029505609,0.404601619,0.000014291,0.048218404,0.047066680,0.022202338,0.041402806,0.024999200,0.025703996,0.000000000,0.004693856,0.107558055,1.114848990,0.000000000,0.488505747,0.304568528,9.980000000,0.015228426,0.015228426,0.083756345,0.083756345,0.083756345,0.000000000,24.004500000,0.277491000,75.480700000,0.077136600,75.000000000,68.000000000,83.000000000,0.938823000,0.267009000,0.812674000,0.047569900,2.360000000,29.105300000,0.172197000,75.703100000,0.078037300,76.000000000,68.000000000,83.000000000,0.646709000,0.339855000,0.832384000,0.037482400,2.700000000,0.266532657,0.944660090,1.980000000
instances/sat/data/FACTORING/factor-3001-3301.cnf,434.000000000,2232.000000000,393.000000000,2076.000000000,0.104325700,0.075144509,0.000000000,0.189306358,0.366409762,0.504148112,0.000000000,1.000000000,1.077253409,0.008307716,0.217854294,0.005089059,0.010178117,1.017575547,0.000000000,0.155587669,0.579479769,0.000000000,0.008307716,0.177259139,0.004816956,0.012524085,1.774048709,0.027465643,0.041787121,0.000000000,0.272727273,0.963377139,0.004742189,0.368901507,0.001926782,0.012524085,1.279806365,0.601156069,0.003564302,0.538436263,0.002408478,0.012042389,0.000000000,0.010686402,0.189782908,0.003371869,0.016377649,2.632878518,0.328551439,0.331139263,0.057142857,0.563157895,2.950522919,0.020000000,0.166281580,0.905262024,0.006670081,0.630163138,0.363253268,0.049900652,0.356821235,0.052250445,0.064747698,0.029256408,0.406563683,0.000005005,0.048148014,0.047045347,0.022214871,0.040827401,0.024869263,0.025436458,0.000000000,0.003849414,0.133807768,1.083957482,0.000000000,0.477718360,0.254452926,4.920000000,0.015267176,0.015267176,0.083969466,0.083969466,0.083969466,0.000000000,24.084300000,0.292966000,76.057500000,0.080539300,76.000000000,68.000000000,84.000000000,0.951870000,0.276939000,0.816032000,0.049783500,2.280000000,29.461800000,0.168642000,76.024400000,0.078868300,76.000000000,68.000000000,84.000000000,0.667797000,0.336189000,0.835722000,0.037480400,2.540000000,0.295545968,0.960017759,2.000000000
instances/sat/data/FACTORING/factor-3001-3307.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.367677740,0.505583521,0.000000000,1.000000000,1.080705974,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.028005070,0.042608430,0.000000000,0.272727273,0.979016701,0.004735207,0.364243506,0.001925855,0.012036591,1.264744333,0.601829562,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010658497,0.191803083,0.003370246,0.016369764,2.647467022,0.328995897,0.331484174,0.057142857,0.610294118,2.933631871,0.020000000,0.167720603,0.900031144,0.011785376,0.630983398,0.363282737,0.050606938,0.356959338,0.052696463,0.065706158,0.029314174,0.404374206,0.000014435,0.047768422,0.047069519,0.022228785,0.040827356,0.024993476,0.025459897,0.000000000,0.003642430,0.133038288,1.058810538,0.000000000,0.500000000,0.256345178,7.280000000,0.015228426,0.015228426,0.083756345,0.083756345,0.083756345,0.000000000,24.066700000,0.313265000,76.086300000,0.079359400,76.000000000,69.000000000,84.000000000,0.948630000,0.282237000,0.816803000,0.092358400,2.380000000,29.313900000,0.167904000,76.208600000,0.078671800,76.000000000,69.000000000,84.000000000,0.660119000,0.331862000,0.835649000,0.036969800,2.700000000,0.287679356,0.944825976,2.000000000
instances/sat/data/FACTORING/factor-3001-3319.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.370566522,0.507101013,0.000000000,1.000000000,1.086409238,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.028681889,0.044244735,0.000000000,0.272727273,0.991825464,0.004744983,0.359534747,0.001925855,0.012036591,1.232427207,0.602792489,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010657570,0.192037592,0.003370246,0.016369764,2.646884228,0.329254099,0.332171045,0.057142857,0.610294118,2.938663336,0.020000000,0.170679436,0.900417242,0.011782406,0.638697483,0.363283105,0.050831437,0.356999614,0.052946150,0.068126051,0.029441237,0.404466045,0.000014394,0.048754558,0.047053158,0.022220908,0.040834139,0.024999227,0.025695195,0.000000000,0.004473531,0.128880354,1.100736414,0.000000000,0.486274797,0.220812183,6.160000000,0.015228426,0.015228426,0.083756345,0.083756345,0.083756345,0.000000000,23.975600000,0.282982000,75.646700000,0.079624300,76.000000000,68.000000000,83.000000000,0.934213000,0.268383000,0.813381000,0.048750600,2.340000000,28.674200000,0.200055000,75.699100000,0.080586000,76.000000000,68.000000000,83.000000000,0.634651000,0.374457000,0.832623000,0.136339000,2.640000000,0.272429462,0.937461909,2.000000000
instances/sat/data/FACTORING/factor-3001-3331.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.363344567,0.502910935,0.000000000,1.000000000,1.071157729,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.026989842,0.040007288,0.000000000,0.272727273,0.957104782,0.004720543,0.371241611,0.001925855,0.012036591,1.299092498,0.600385171,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010659888,0.191404679,0.003370246,0.016369764,2.647220627,0.328632402,0.330741508,0.057142857,0.610294118,2.918913025,0.020000000,0.163693241,0.896600313,0.011800060,0.630074404,0.363310478,0.050815794,0.356961862,0.052274653,0.064676678,0.029118579,0.403629431,0.000014449,0.048192029,0.047044935,0.022207857,0.040723093,0.024999190,0.025432491,0.000000000,0.002796866,0.143908629,1.071341701,0.000000000,0.488636364,0.263959391,4.560000000,0.015228426,0.015228426,0.167512690,0.299492386,0.299492386,0.000000000,24.040400000,0.291012000,76.490600000,0.079101800,76.000000000,69.000000000,84.000000000,0.945455000,0.274511000,0.817037000,0.047215800,2.280000000,29.363800000,0.171751000,76.552700000,0.080020400,77.000000000,69.000000000,84.000000000,0.668259000,0.340670000,0.838478000,0.039232800,2.660000000,0.309040336,0.948364076,2.000000000
instances/sat/data/FACTORING/factor-3001-3361.cnf,434.000000000,2232.000000000,393.000000000,2076.000000000,0.104325700,0.075144509,0.000000000,0.189306358,0.367854849,0.504985310,0.000000000,1.000000000,1.080290598,0.008307716,0.217854294,0.005089059,0.010178117,1.017575547,0.000000000,0.155587669,0.579479769,0.000000000,0.008307716,0.177259139,0.004816956,0.012524085,1.774048709,0.027681542,0.041796749,0.000000000,0.200000000,0.968293993,0.004747091,0.366495900,0.001926782,0.012524085,1.255575320,0.601637765,0.003564302,0.538436263,0.002408478,0.012042389,0.000000000,0.010685938,0.189906477,0.003371869,0.016377649,2.629917470,0.328678629,0.331516465,0.057142857,0.563157895,2.951721265,0.020000000,0.167533541,0.906107391,0.006718845,0.609337456,0.363241046,0.049210471,0.356926076,0.052319212,0.064956026,0.029326028,0.406932499,0.000004985,0.047116762,0.047059232,0.022247258,0.040829020,0.024934336,0.025436573,0.000000000,0.003935759,0.130834999,1.114354918,0.000000000,0.500000000,0.323155216,8.140000000,0.015267176,0.015267176,0.020356234,0.020356234,0.020356234,0.000000000,23.753500000,0.284254000,75.940800000,0.079754900,76.000000000,68.000000000,84.000000000,0.944466000,0.270395000,0.814560000,0.046935600,2.320000000,28.954900000,0.168295000,75.686300000,0.078147300,76.000000000,68.000000000,83.000000000,0.657847000,0.334762000,0.832737000,0.037924000,2.580000000,0.287137861,0.931931957,2.000000000
instances/sat/data/FACTORING/factor-3001-3371.cnf,434.000000000,2232.000000000,394.000000000,2077.000000000,0.101522843,0.074626866,0.000000000,0.189696678,0.364788958,0.503856537,0.000000000,1.000000000,1.074486505,0.008285085,0.218008270,0.005076142,0.010152284,1.017980778,0.000000000,0.155994222,0.579682234,0.000000000,0.008285085,0.179398816,0.002888782,0.012518055,1.773149201,0.027328251,0.040895524,0.000000000,0.272727273,0.964835493,0.004732763,0.367279330,0.001925855,0.012036591,1.277983153,0.601829562,0.003558432,0.540599206,0.001444391,0.012036591,0.000000000,0.010659424,0.191496529,0.003370246,0.016369764,2.647645542,0.328774743,0.331235644,0.057142857,0.610294118,2.927538638,0.020000000,0.165377705,0.896189513,0.011794990,0.638006039,0.363310341,0.050847098,0.356958552,0.052341833,0.064703341,0.029184720,0.403949292,0.000014729,0.048231271,0.047055009,0.022208462,0.040793940,0.024993526,0.025434546,0.000000000,0.002989553,0.157979273,1.018784515,-0.000000000,0.498942918,0.261421320,8.040000000,0.015228426,0.015228426,0.167512690,0.190355330,0.190355330,0.000000000,24.244400000,0.287075000,76.471600000,0.079924700,76.000000000,69.000000000,84.000000000,0.950227000,0.273652000,0.818021000,0.047910900,2.300000000,29.643400000,0.166068000,76.453800000,0.077764500,76.000000000,69.000000000,84.000000000,0.669057000,0.338155000,0.838025000,0.036576500,2.600000000,0.300546533,0.960127518,2.000000000
