instances/sat/data/GI-CSSC14/INSTANCE_NAME,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-coeff-variation,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m2D_s36.AB00.cnf,240,2844,240,2844,0,0,0,0.084388186,1,0,1,1,0,0.008579466,0.273517602,0.008333333,0.033333333,0.07594438,0,0.987341772,0.987341772,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821169907,0.174484456,0.465830788,0.963833442,0.96379973,0.709598291,0.963269161,0.728420631,0.903569442,0.092742443,0.970926899,0.000544373,0.241155993,0.183498941,0.001507639,0.172926457,0.001948956,0.16187586,0.01,10.1902,0.576303,89.5141,0.0845593,89,80,99,5.22177,0.242196,0.986983,0.00917067,2.12,6.59601,1.05589,89.5405,0.0839361,89,80,99,2.94654,0.63962,0.981769,0.0110487,2.21,0.856813225,0.998236176,2
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m2D_m400.AB18.cnf,11296,1056896,11296,1056896,0,0,0.46,0.010687901,1,0,1,1,0,0.000177933,0.314802732,0.000177054,0.005665722,0.003805373,0,0.999621533,0.999621533,0.11,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,30.33333333,0.428007519,15,51,51,15,44,20,29,55.72920175,0.146167512,39.56862745,64.4,64.4,39.56862745,63,53.37931035,57.22727273,0.94,0.940297188,0.085686395,0.057877595,0.997268294,0.997177956,0.860010067,0.994641914,0.908009191,0.984663643,0.041738696,1.301751359,0,0.335044014,0.109583733,0.00000003,0.077863108,0.000001543,0.000830804,3.46,32190.2,2.81369,4587.88,0.404232,5234.5,0,5291,36.2146,0.45793,0.874797,0.404061,2.52,70.5,0.090269,5272.5,0.00415748,5272.5,5257,5257,2.86156,0.101011,0.999415,0,2.51,0.242097498,0.999742662,2.02
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m4D_m1296.AB09.cnf,57888,13817136,57888,13817136,0,0,6.61,0.00418958,1,0,1,1,0,0.000034619,0.302314712,0.000034549,0.002487562,0.001098366,0,0.999906203,0.999906203,1.42,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0.02,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0.949035773,0.153114792,0.000005765,1,1,0.874952919,1,0.967659399,0.999856623,0.040083827,2.271643188,0,0.5,0.121736815,0,0.034614565,0,0.000103969,21.05,790529,0,0,0,0,0,0,260.19,0,1.30244,0,8.95,673,0,27766,0,27766,27766,27766,99.8279,0,0.999968,0,8.9,0.357638889,0.54966487,2.23
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m4D_m625.AB20.cnf,10803,916403,10788,916388,0.001390434,0.000016369,0.4,0.011772306,1,0,1,1,0,0.000186359,0.303771791,0.000185391,0.004449388,0.0065213,0,0.999336526,0.999336526,0.1,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,39,0,39,39,39,39,39,39,39,36.33333333,0,36.33333333,36.33333333,36.33333333,36.33333333,36.33333333,36.33333333,36.33333333,0.79,0.925323747,0.110584502,0.235300338,1,0.996540614,0.802081256,0.995605296,0.905513641,0.965869052,0.046769448,1.285610572,0,0.349699705,0.139904319,0.000000003,0.078747119,0.000000867,0.001651051,3.3,127.875,1.1392,4922,0.00988307,4901.5,4870,4964,32.9837,0.24299,0.99902,0.000642899,2.46,116.667,0.0227856,4886.33,0.00749561,4890.5,4842,4923,7.86053,0.381322,0.998958,0,2.44,0.251494294,0.847375048,2.04
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m2D_m576.AB16.cnf,35616,8579120,35616,8579120,0,0,4.05,0.004151475,1,0,1,1,0,0.000056267,0.319508184,0.000056155,0.004043127,0.000789635,0,0.99993286,0.99993286,0.88,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0.01,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.948106782,0.150555799,0.000019087,1,1,0.874916212,1,0.956485062,0.999914531,0.039646857,2.157918381,0,0.5,0.111701053,0,0.045540183,0.000000005,0.00007443,13.06,13416,0,0,0,0,0,0,150.973,0,1.00639,0,6.27,17343,0,0,0,0,0,0,156.028,0,1.00818,0,6.23,0.183157382,0.895058823,2.06
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_b03m_m800.AB12.cnf,812,812,24,24,32.83333333,32.83333333,0,1,1,0,1,1,0,0.083333333,0,0.083333333,0.083333333,0,0,1,1,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970446738,0.174498305,0,1,1,1,1,1,1,0.008737976,5.730037892,0,0.295716884,0,0,0,0,0,0,0.0290148,66.6783,399.442,0.0388781,400,381,418,0.994153,0.00341852,0.996326,0.0076094,2.19,0,0,399.451,0.0355987,399,381,418,0.996254,0.00260916,0.996233,0.00263177,1.83,0.02955665,0.02955665,0.14
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_b09_s40.AB13.cnf,1600,247240,1600,247240,0,0,0.09,0.006471445,1,0,1,1,0,0.001253842,0.240910733,0.00125,0.025,0.001574042,0,0.999838214,0.999838214,0.02,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.963163204,0.075934439,0.78048709,0.997675174,0.997109167,0.815120094,0.99709843,0.99550922,0.997093482,0.024675526,2.167498186,0.000000017,0.15296081,0.136962452,0.00000012,0.000315408,0.000001497,0.000002547,2.32,121.192,5.89451,741.673,0.143371,755,732,776,72.6918,0.141977,1.00175,0.0138581,2.13,14.0233,0.644518,760.907,0.0277351,757,733,788,28.9117,0.333706,0.99969,0.00015221,2.13,0.464846311,0.863168289,2
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m4Dr6_s16.AB23.cnf,16,16,0,0,-512,-512,0,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_b09_s40.AB11.cnf,1600,247240,1600,247240,0,0,0.09,0.006471445,1,0,1,1,0,0.001253842,0.240910733,0.00125,0.025,0.001574042,0,0.999838214,0.999838214,0.02,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.964664998,0.07305569,0.789228986,0.997109174,0.99710839,0.80381206,0.997096716,0.995584749,0.997092062,0.023639829,2.176672626,0.000000016,0.148677636,0.142203611,0.000000175,0.005006065,0.000001532,0.000002081,2.33,1431.69,6.61343,746.244,0.154737,761,739,785,70.1812,0.205568,0.977574,0.152459,2.14,27.95,2.46464,740.425,0.164921,756.5,724,787,33.946,0.453258,0.999923,0.00117362,2.12,0.467809917,0.85567571,2.01
instances/sat/data/GI-CSSC14/instances/Sat_Data/GI/iso_m4Dr6_s16.AB13.cnf,16,16,0,0,-512,-512,0,-512,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
