instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/2_17_1/IBM_FV_2004_rule_batch_2_17_1_SAT_dat.k65.cnf,64363.000000000,236448.000000000,13364.000000000,66862.000000000,3.816147860,2.536358470,0.540000000,0.199874368,0.311326586,1.141271240,0.000000000,1.000000000,1.606990020,0.000230675,0.606531781,0.000149656,0.001346902,1.410895926,0.000000000,0.533486883,0.759160659,0.020000000,0.000230675,0.641583529,0.000104693,0.001286231,2.989365722,0.163345636,0.143727140,0.000000000,0.714285714,3.007222732,0.000110151,0.632581694,0.000014956,0.000583291,2.522907436,0.625916066,0.000288024,0.708899744,0.000059825,0.001570399,0.300000000,0.000434051,0.888277031,0.000074781,0.003514702,4.075957613,0.158837910,0.555155159,0.015369942,0.666666667,3.427426368,3.440000000,0.459355643,0.637413916,0.000071274,0.999530944,0.870058797,0.065682128,0.710571091,0.181103854,0.447136066,0.046867037,1.159651743,0.000000069,0.428102008,0.104956755,0.002009957,0.066111226,0.009664380,0.033015131,1.040000000,-512,-512,-512,-512,-512,-512,-512,0.000074828,0.000523795,0.000523795,0.000523795,0.003816223,0.220000000,164.200000000,0.237060000,3692.600000000,0.010970300,3695.000000000,3650.000000000,3712.000000000,0.649297000,0.153450000,0.888582000,0.006838830,2.160000000,620.093000000,0.036289300,3682.300000000,0.013323300,3672.000000000,3629.000000000,3742.000000000,0.451084000,0.285296000,0.925971000,0.003779450,2.300000000,0.083544141,0.348408846,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/16_2_rule_3/SAT_dat.k45.cnf,17302.000000000,70697.000000000,6515.000000000,37660.000000000,1.655717575,0.877243760,0.200000000,0.172995220,0.323290906,1.222986677,0.000000000,1.000000000,1.546426884,0.000475731,0.700524365,0.000306984,0.003223331,1.343328266,0.000000000,0.614843335,0.775942645,-0.000000000,0.000475731,0.727651505,0.000159320,0.002628784,3.073357291,0.152380550,0.139995240,0.000000000,0.666666667,3.044695092,0.000219943,0.640444912,0.000026553,0.000955921,2.626484518,0.651486989,0.000581892,0.671977501,0.000106213,0.002283590,0.080000000,0.000986405,0.909097441,0.000132767,0.006585236,4.212618107,0.189534375,0.491196367,0.016155856,0.679802956,3.465533687,3.220000000,0.575810937,0.551054575,0.002470854,0.997332553,0.908272131,0.099416767,0.858176984,0.219453464,0.695650703,0.038524719,1.275792364,0.000000499,0.407460754,0.100095476,0.002331135,0.049880399,0.005901461,0.025911974,0.660000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,112.500000000,0.000000000,0.000000000,0.006600153,0.031465848,0.031465848,0.060000000,130.197000000,5.180870000,2061.130000000,0.131736000,2093.000000000,2039.000000000,2154.000000000,1.120430000,1.062710000,0.982959000,0.407833000,2.120000000,230.014000000,0.079017100,2095.310000000,0.015938500,2096.000000000,2053.000000000,2141.000000000,0.799928000,0.296086000,0.958450000,0.003734440,2.360000000,0.134220264,0.402212448,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/24_1_rule_3/SAT_dat.k45.cnf,723221.000000000,2832042.000000000,187050.000000000,1238623.000000000,2.866458166,1.286443898,11.800000000,0.151014473,0.301196890,1.120518300,0.000000000,1.000000000,1.801198863,0.000017860,0.621005960,0.000010692,0.000101577,1.565662599,0.000000000,0.516488068,0.703054117,0.200000000,0.000017860,1.789037998,0.000000807,0.000627310,3.462128771,0.195195970,0.167227274,0.000000000,1.000000000,3.525665141,0.000009574,1.644466642,0.000000000,0.000295489,3.059619979,0.677604081,0.000018647,1.210439555,0.000000807,0.000477143,58.960000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.060000000,0.553449658,0.524460025,0.000000791,1.000000000,0.908715474,0.116068211,0.817260356,0.301565728,0.598359987,0.069476955,0.972747900,-0.000000000,1.000000000,0.166164699,0.002304668,0.100886246,0.017545510,0.050747009,6.120000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000903502,0.001897888,0.002031542,0.002031542,0.160000000,120891.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,12.360900000,0.000000000,2.502090000,0.000000000,2.900000000,17996.000000000,0.000000000,56955.000000000,0.000000000,56955.000000000,56955.000000000,56955.000000000,2.798370000,0.000000000,0.982457000,0.000000000,2.920000000,0.009587621,0.089015422,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/16_2_rule_3/SAT_dat.k1.cnf,289.000000000,872.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/1_14/IBM_FV_2004_rule_batch_1_14_SAT_dat.k55.cnf,79117.000000000,307526.000000000,34265.000000000,207923.000000000,1.308974172,0.479037913,1.320000000,0.164796583,0.344073148,1.054958660,0.000000000,1.000000000,1.811861928,0.000099136,0.729186835,0.000058369,0.000787976,1.558042901,0.000000000,0.496982056,0.725162680,0.020000000,0.000099136,0.973517190,0.000019238,0.000846467,3.121377948,0.152512020,0.155258334,0.000000000,1.000000000,2.906017079,0.000048629,1.031768294,0.000000000,0.000447281,2.923703459,0.640467866,0.000120916,0.861786776,0.000019238,0.002255643,2.060000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.501909363,0.593604909,0.000007032,1.000000000,0.926226338,0.090800279,0.733432324,0.222485197,0.503395415,0.055365483,1.122968028,0.000000000,0.386783707,0.135734602,0.000317021,0.081095181,0.005548959,0.031885499,2.440000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.020750036,0.020750036,0.020750036,0.153246753,0.440000000,807.000000000,0.413574000,10573.000000000,0.002541380,10573.000000000,10554.000000000,10554.000000000,1.003900000,0.503963000,0.934364000,0.011782200,2.160000000,1842.890000000,0.024722900,10535.400000000,0.003821280,10538.000000000,10479.000000000,10595.000000000,0.359103000,0.138333000,0.962492000,0.000870158,2.300000000,0.033957192,0.122092869,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/28_rule/SAT_dat.k65.cnf,48362.000000000,255289.000000000,24471.000000000,190962.000000000,0.976298476,0.336857595,0.920000000,0.128145914,0.283869324,1.312323268,0.000000000,1.000000000,1.539611386,0.000132771,0.870020042,0.000081729,0.000939888,1.328255662,0.000000000,0.628837151,0.783009185,0.020000000,0.000132771,0.797908800,0.000036657,0.000822153,3.265294606,0.173663130,0.184717042,0.000000000,0.846153846,3.013736079,0.000076079,0.776170640,0.000005237,0.000382275,3.181819225,0.736083619,0.000152837,0.965078962,0.000020947,0.001209665,1.060000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.525932934,0.613139113,0.000002676,0.999985525,0.884674808,0.054286668,0.795549672,0.191784805,0.648136494,0.042011745,1.375959175,0.000000000,0.442036393,0.133148253,0.001106121,0.048208096,0.004497539,0.016791782,2.440000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000531241,0.010951739,0.028482694,0.028482694,0.040000000,6297.400000000,2.012850000,6213.800000000,0.559085000,7773.000000000,0.000000000,7774.000000000,4.370130000,1.381990000,1.888170000,1.107040000,2.160000000,1103.170000000,0.192576000,7829.000000000,0.009081270,7830.500000000,7722.000000000,7912.000000000,1.146230000,0.657378000,0.967288000,0.006943260,2.280000000,0.077420918,0.208591146,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/15_rule/SAT_dat.k45.cnf,104404.000000000,396286.000000000,41676.000000000,249240.000000000,1.505134850,0.589977532,1.660000000,0.167212325,0.336159657,1.073173215,0.000000000,1.000000000,1.751637712,0.000077942,0.672672896,0.000047989,0.000791823,1.492910743,0.000000000,0.511815920,0.742525277,0.040000000,0.000077942,1.180786401,0.000016049,0.001665062,3.186420861,0.175145395,0.147484257,0.000000000,1.000000000,3.014113322,0.000041947,1.391724105,0.000000000,0.001087305,2.905582507,0.671224523,0.000096924,0.919318187,0.000016049,0.001283903,3.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.526690847,0.545326583,0.000020912,1.000000000,0.921566097,0.115473299,0.778445892,0.280892179,0.530890488,0.051656981,1.170111261,-0.000000000,0.391519831,0.116079810,0.000766867,0.081783285,0.003923534,0.026827767,2.520000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000000000,0.000047989,0.011109511,0.011109511,0.120000000,20793.500000000,1.365720000,6529.000000000,1.414210000,6529.000000000,0.000000000,0.000000000,0.269480000,1.414210000,0.464970000,1.414210000,2.180000000,2753.670000000,0.409937000,11712.200000000,0.375053000,13211.000000000,0.000000000,13226.000000000,0.732838000,1.272030000,0.991523000,0.063879100,2.360000000,0.027017664,0.083315949,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/13_rule_19/SAT_dat.k40.cnf,37188.000000000,142063.000000000,15839.000000000,110861.000000000,1.347875497,0.281451547,0.560000000,0.142872606,0.428077165,0.727468904,0.000000000,1.000000000,1.583536888,0.000229310,0.542810389,0.000126271,0.002714818,1.363793700,0.000000000,0.299663543,0.471581530,0.020000000,0.000229310,2.298763810,0.000072162,0.007595097,2.872194668,0.112669396,0.156156231,0.000000000,0.913043478,1.702933082,0.000110813,1.436444594,0.000009020,0.002633929,2.548023412,0.577624232,0.000156633,1.945253287,0.000036081,0.004311706,0.460000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.080000000,0.287942431,1.286336517,0.000000000,0.983719022,0.892833714,0.000000000,0.776915033,0.000000000,0.035103073,0.074199733,0.980012501,-0.000000000,0.338752065,0.169429138,0.000787597,0.139285917,0.003103454,0.052681999,2.360000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,181.800000000,0.000063135,0.000063135,0.025443525,0.025443525,0.025443525,0.440000000,1743.270000000,1.392310000,3478.450000000,0.331899000,3830.000000000,3767.000000000,3877.000000000,1.827630000,0.879136000,1.097470000,0.556057000,2.120000000,819.905000000,0.125911000,3803.520000000,0.011491700,3792.000000000,3761.000000000,3858.000000000,0.217566000,1.347100000,0.897955000,0.008323180,2.400000000,0.331451108,0.528686506,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/06/IBM_FV_2004_rule_batch_06_SAT_dat.k65.cnf,80751.000000000,351716.000000000,32165.000000000,229532.000000000,1.510523861,0.532317934,1.220000000,0.140132966,0.359896318,1.045177750,0.000000000,1.000000000,1.784961477,0.000103921,0.695157790,0.000062179,0.000808332,1.537685536,0.000000000,0.522637366,0.733143962,0.020000000,0.000103921,1.379297952,0.000004357,0.001890804,3.485136573,0.195829885,0.166543566,0.000000000,1.000000000,3.414105944,0.000049835,1.145966794,0.000004357,0.000775491,3.104688399,0.637179130,0.000105645,1.095366705,0.000004357,0.001372358,1.800000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.504788151,0.643324253,0.000005624,1.000000000,0.911146001,0.063709694,0.819119271,0.188081194,0.545577629,0.038808730,1.428294816,-0.000000000,1.000000000,0.110365329,0.000237125,0.046873522,0.002805631,0.018871380,2.460000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000000000,0.005565055,0.005565055,0.005565055,0.740000000,867.500000000,0.023638200,10280.000000000,0.002063540,10280.000000000,10265.000000000,10265.000000000,1.046440000,0.058273600,0.934186000,0.002683990,2.160000000,1703.220000000,0.017950000,10244.700000000,0.006219830,10239.000000000,10160.000000000,10319.000000000,0.445261000,0.199979000,0.955376000,0.001381090,2.340000000,0.087262657,0.236751100,2.000000000
instances/sat/data/IBM-CSSC14/instances/Sat_Data/bench/HW-verification/40randomsets/2_14/IBM_FV_2004_rule_batch_2_14_SAT_dat.k100.cnf,147037.000000000,573435.000000000,65953.000000000,401390.000000000,1.229420951,0.428623035,2.260000000,0.164311517,0.345094505,1.052714640,0.000000000,1.000000000,1.811106727,0.000051442,0.727007115,0.000030325,0.000409382,1.554752346,0.000000000,0.497209696,0.726303595,0.060000000,0.000051442,0.969381070,0.000009965,0.000438476,3.121158413,0.151592189,0.153513429,0.000000000,1.000000000,2.899414975,0.000025231,1.029222377,0.000000000,0.000231695,2.920589986,0.640830614,0.000062545,0.854709735,0.000009965,0.000408580,7.400000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-512.000000000,-1.000000000,-0.000000000,-1.000000000,0.000000000,-0.000000000,20.020000000,0.500356849,0.597303244,0.000000711,1.000000000,0.924703405,0.089956214,0.731165793,0.227939247,0.499012304,0.054623813,1.135211888,0.000000000,0.388246788,0.137770365,0.000314399,0.078826084,0.005375134,0.031892545,2.860000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.001834640,0.001834640,0.001834640,0.001834640,0.620000000,11091.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.541040000,0.000000000,1.205330000,0.000000000,2.260000000,4281.250000000,0.300822000,15318.000000000,0.666680000,20385.500000000,0.000000000,20429.000000000,1.194610000,0.966886000,0.999696000,0.070506100,2.360000000,0.025727728,0.098025762,2.000000000
