instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v225-c960/unif-v225-c960-889-S541709883.cnf,225.000000000,960.000000000,221.000000000,956.000000000,0.018099548,0.004184100,0.000000000,0.231171548,0.491283124,0.585067247,0.000000000,1.000000000,0.676737600,0.013688256,0.051714852,0.013574661,0.018099548,0.117289843,0.000000000,0.000000000,0.974895397,0.000000000,0.013688256,0.271585313,0.005230126,0.027196653,2.605173792,0.223013558,0.153414373,0.000000000,0.692307692,3.157140422,0.006730533,0.360075487,0.001046025,0.013598326,2.230566407,0.493723849,0.026032299,0.254852283,0.010460251,0.050209205,0.000000000,0.020649148,0.228207820,0.009414226,0.038702929,2.891113388,0.114732575,0.227189561,0.060606061,0.222222222,2.325687033,0.000000000,0.395013292,0.575526566,0.001770047,0.875867869,0.681799725,0.066983527,0.573273766,0.207672115,0.397487818,0.086043923,0.644349706,0.003589721,0.308146270,0.156011880,0.021868865,0.119303243,0.043988536,0.076883663,0.000000000,0.257123322,0.149403752,1.137354697,0.000000000,0.500000000,0.452488688,0.680000000,0.000000000,0.000000000,0.004524887,0.113122172,0.113122172,0.000000000,9.026700000,0.333816000,49.791900000,0.103563000,50.000000000,43.000000000,57.000000000,1.052030000,0.207081000,0.859890000,0.051791200,2.020000000,7.653890000,0.314635000,49.755600000,0.104642000,50.000000000,43.000000000,56.000000000,0.523181000,0.409908000,0.849373000,0.051556500,2.560000000,0.359315083,0.656838006,1.620000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v225-c960/unif-v225-c960-384-S562397006.cnf,225.000000000,960.000000000,220.000000000,955.000000000,0.022727273,0.005235602,0.000000000,0.230366492,0.484118674,0.586989966,0.000000000,1.000000000,0.693879597,0.013788672,0.059323579,0.013636364,0.018181818,0.146731935,0.000000000,0.000000000,0.966492147,0.000000000,0.013788672,0.281864159,0.004188482,0.027225131,2.652944739,0.219084473,0.158762453,0.000000000,1.000000000,3.212200033,0.006696811,0.385116445,0.001047120,0.015706806,2.270014618,0.486910995,0.026415992,0.266348727,0.008376963,0.051308901,0.000000000,0.020951180,0.231717622,0.008376963,0.042931937,2.913165357,0.113767830,0.244986649,0.056910569,0.250000000,2.335017626,0.000000000,0.399005137,0.524856688,0.007536950,1.000000000,0.689537339,0.130905834,0.567367761,0.230542857,0.397733444,0.082349078,0.708515848,0.002390294,0.450945384,0.152693369,0.026644239,0.107868552,0.040968811,0.072600131,0.000000000,0.245848915,0.161363636,1.080261809,0.000000000,0.500000000,0.413636364,0.700000000,0.000000000,0.000000000,0.018181818,0.418181818,0.418181818,0.000000000,9.349400000,0.340534000,49.319300000,0.104618000,49.000000000,43.000000000,56.000000000,1.038810000,0.209036000,0.856185000,0.053391400,2.000000000,7.941770000,0.330315000,49.241400000,0.105321000,49.000000000,43.000000000,56.000000000,0.512231000,0.413816000,0.844718000,0.052147700,2.600000000,0.362972273,0.649391132,1.620000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v300-c1279/unif-v300-c1279-843-S953300536.cnf,300.000000000,1279.000000000,291.000000000,1238.000000000,0.030927835,0.033117932,0.000000000,0.235056543,0.487210555,0.590405128,0.000000000,1.000000000,0.679344814,0.010400879,0.053219011,0.010309278,0.013745704,0.122918254,0.000000000,0.000000000,0.973344103,0.000000000,0.010400879,0.301009600,0.004038772,0.022617124,2.705065996,0.231720475,0.167421503,0.000000000,0.666666667,3.206620344,0.005060262,0.410305338,0.000807754,0.011308562,2.305075145,0.488691438,0.020085605,0.291048713,0.008077544,0.043618740,0.000000000,0.015834075,0.255465620,0.006462036,0.036348950,2.981923372,0.112501371,0.249759811,0.045410628,0.244444444,2.372084407,0.020000000,0.393207722,0.590975286,0.004896191,0.855982296,0.702848495,0.082032995,0.597839010,0.199783786,0.363644449,0.092553285,0.588706881,0.004749894,0.292449075,0.165794897,0.028965168,0.122397514,0.052217487,0.084751979,0.000000000,0.263202607,0.169095864,1.055343476,0.000000000,0.500000000,0.402061856,2.060000000,0.000000000,0.000000000,0.006872852,0.264604811,0.264604811,0.000000000,10.679500000,0.349245000,64.471200000,0.091162000,64.000000000,57.000000000,72.000000000,1.006510000,0.205442000,0.861628000,0.044692600,2.240000000,8.896930000,0.301668000,64.261900000,0.091591800,64.000000000,57.000000000,72.000000000,0.446857000,0.394742000,0.849932000,0.043122100,2.500000000,0.352721064,0.647583604,2.000000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v225-c960/unif-v225-c960-671-S2070085895.cnf,225.000000000,960.000000000,218.000000000,954.000000000,0.032110092,0.006289308,0.000000000,0.228511530,0.495457722,0.587639256,0.000000000,1.000000000,0.713182110,0.013944185,0.064334146,0.013761468,0.018348624,0.167410774,0.000000000,0.000000000,0.960167715,0.000000000,0.013944185,0.300604227,0.005241090,0.027253669,2.740622301,0.241625451,0.190113552,0.000000000,1.000000000,3.264933039,0.006447983,0.432917217,0.000000000,0.016771488,2.327877773,0.465408805,0.026503568,0.287109913,0.010482180,0.050314465,0.000000000,0.020962163,0.252197282,0.006289308,0.044025157,3.005621119,0.116922874,0.260514035,0.056478405,0.285714286,2.432776063,0.000000000,0.414743804,0.578219287,0.004715698,1.000000000,0.727840622,0.077001494,0.597257894,0.233093067,0.406216419,0.099082899,0.698521526,0.006986823,0.446230538,0.189716171,0.029459319,0.126611244,0.047430368,0.081499719,0.000000000,0.346278322,0.157117115,1.090634123,0.000000000,0.495188101,0.389908257,0.700000000,0.000000000,0.000000000,0.018348624,0.155963303,0.155963303,0.000000000,7.438500000,0.383244000,49.390700000,0.104293000,49.000000000,43.000000000,56.000000000,1.090410000,0.204752000,0.867372000,0.049022000,1.940000000,6.355200000,0.353380000,49.362000000,0.102307000,49.000000000,43.000000000,56.000000000,0.536349000,0.409158000,0.858269000,0.047510500,2.600000000,0.364378135,0.794162043,1.620000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v275-c1172/unif-v275-c1172-381-S559760533.cnf,275.000000000,1172.000000000,267.000000000,1154.000000000,0.029962547,0.015597920,0.000000000,0.231369151,0.490525708,0.586863195,0.000000000,1.000000000,0.689059736,0.011352793,0.060552097,0.011235955,0.018726592,0.139460952,0.000000000,0.000000000,0.970537262,0.000000000,0.011352793,0.285455663,0.004332756,0.022530329,2.689059384,0.224731687,0.160293315,0.000000000,0.636363636,3.279597601,0.005553067,0.383966847,0.000866551,0.012998267,2.289953966,0.492201040,0.021835790,0.275378910,0.008665511,0.042461005,0.000000000,0.017071207,0.232952969,0.006932409,0.032928943,2.921307964,0.113977695,0.236643179,0.059379217,0.272727273,2.332640754,0.020000000,0.392358641,0.570022373,0.001387170,0.859021600,0.706487216,0.075430717,0.581595160,0.211824607,0.373654123,0.088323048,0.679953256,0.004448692,0.338795776,0.181435985,0.024955911,0.127413122,0.041042575,0.072596323,0.000000000,0.276614748,0.144880463,1.124876693,0.000000000,0.491791577,0.400749064,1.420000000,0.000000000,0.003745318,0.026217228,0.232209738,0.232209738,0.000000000,10.419600000,0.348137000,59.347100000,0.095773500,59.000000000,52.000000000,67.000000000,1.010310000,0.210509000,0.855978000,0.048998900,2.360000000,8.895210000,0.326201000,59.274000000,0.095062300,59.000000000,52.000000000,66.000000000,0.463983000,0.407028000,0.845409000,0.046693800,2.640000000,0.348821348,0.655908300,1.940000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v225-c960/unif-v225-c960-647-S329285405.cnf,225.000000000,960.000000000,220.000000000,957.000000000,0.022727273,0.003134796,0.000000000,0.229885057,0.488854058,0.584593513,0.000000000,1.000000000,0.695625963,0.013797853,0.060980948,0.013636364,0.018181818,0.153460611,0.000000000,0.000000000,0.964472309,0.000000000,0.013797853,0.263521249,0.006269592,0.028213166,2.598457123,0.237246531,0.188239721,0.000000000,1.000000000,3.284563787,0.006858554,0.409855303,0.001044932,0.017763845,2.345844233,0.498432602,0.026427282,0.253562882,0.012539185,0.052246604,0.000000000,0.020267533,0.242997410,0.007314525,0.037617555,2.928044530,0.115722500,0.246421780,0.060060060,0.250000000,2.370214318,0.000000000,0.401742281,0.618458450,0.002164820,1.000000000,0.743645840,0.072705835,0.612616505,0.174016393,0.397841728,0.096495898,0.607577641,0.007569680,0.340196114,0.179591790,0.033129024,0.124211983,0.052297474,0.089336383,0.000000000,0.261163358,0.140909091,1.173797641,0.000000000,0.466666667,0.486363636,0.600000000,0.000000000,0.000000000,0.013636364,0.445454545,0.445454545,0.000000000,7.554600000,0.375123000,49.395800000,0.103361000,49.000000000,43.000000000,56.000000000,1.075760000,0.209692000,0.867201000,0.048746000,1.940000000,6.368020000,0.358393000,49.335600000,0.101725000,49.000000000,43.000000000,56.000000000,0.534732000,0.417500000,0.857233000,0.047715300,2.540000000,0.371799697,0.750579264,1.660000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v250-c1066/unif-v250-c1066-380-S270592756.cnf,250.000000000,1066.000000000,236.000000000,1053.000000000,0.059322034,0.012345679,0.000000000,0.224121557,0.490978158,0.620094817,0.000000000,1.000000000,0.891855836,0.013102194,0.096659122,0.012711864,0.021186441,0.313459678,0.000000000,0.000000000,0.910731244,0.000000000,0.013102194,0.320147750,0.004748338,0.037986705,2.751838713,0.244322707,0.166839557,0.000000000,0.692307692,3.387998088,0.006337824,0.426486640,0.000949668,0.018993352,2.365822866,0.490978158,0.025496161,0.311809256,0.009496676,0.067426401,0.000000000,0.020407482,0.310311743,0.007597341,0.047483381,3.205359085,0.109424244,0.278281391,0.043137255,0.230769231,2.467776984,0.020000000,0.399908193,0.565953810,0.001781894,0.904324696,0.729492101,0.096258700,0.567683528,0.220388865,0.387522111,0.085830276,0.593017695,0.007559709,0.272810677,0.155276943,0.026990973,0.113670111,0.048751746,0.077644980,0.000000000,-512,-512,-512,-512,-512,-512,-512,0.000000000,0.000000000,0.118644068,0.237288136,0.237288136,0.000000000,9.456900000,0.315873000,52.477800000,0.100794000,52.000000000,46.000000000,59.000000000,1.052390000,0.203572000,0.863485000,0.048174300,2.200000000,7.718080000,0.315401000,52.522900000,0.100910000,52.000000000,46.000000000,59.000000000,0.503028000,0.413516000,0.851111000,0.048204800,2.560000000,0.372411017,0.738199664,1.940000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v225-c960/unif-v225-c960-195-S1855106009.cnf,225.000000000,960.000000000,221.000000000,955.000000000,0.018099548,0.005235602,0.000000000,0.231413613,0.494938918,0.585196978,0.000000000,1.000000000,0.639114575,0.013659946,0.045046537,0.013574661,0.018099548,0.093521888,0.000000000,0.000000000,0.981151832,0.000000000,0.013659946,0.258623364,0.006282723,0.027225131,2.546342084,0.238785460,0.169303872,0.000000000,0.733333333,3.235539822,0.006458032,0.396387275,0.001047120,0.014659686,2.275312011,0.473298429,0.025926891,0.253202040,0.012565445,0.051308901,0.000000000,0.020041117,0.234313264,0.008376963,0.037696335,2.883298959,0.118846124,0.236324924,0.060060060,0.274725275,2.374650446,0.000000000,0.420553234,0.566883232,0.000284274,0.926134559,0.760494540,0.090770176,0.606991478,0.235316778,0.403691493,0.097694834,0.580010303,0.008818997,0.298022725,0.181867728,0.034387214,0.127608736,0.053016170,0.087473973,0.000000000,0.309358639,0.131787330,1.214516445,0.000000000,0.500000000,0.533936652,0.740000000,0.000000000,0.000000000,0.013574661,0.199095023,0.199095023,0.000000000,7.487400000,0.357455000,49.961200000,0.102753000,50.000000000,43.000000000,56.000000000,1.081410000,0.207367000,0.869475000,0.048460700,2.000000000,6.223160000,0.346334000,50.029600000,0.101354000,50.000000000,44.000000000,56.000000000,0.540599000,0.410098000,0.859616000,0.046169000,2.700000000,0.374205128,0.711011254,1.680000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v325-c1385/unif-v325-c1385-254-S663452718.cnf,325.000000000,1385.000000000,319.000000000,1379.000000000,0.018808777,0.004350979,0.000000000,0.231327049,0.487913947,0.587759545,0.000000000,1.000000000,0.671226086,0.009495318,0.055405874,0.009404389,0.012539185,0.131271613,0.000000000,0.000000000,0.970993474,0.000000000,0.009495318,0.264872504,0.003625816,0.018854242,2.597444587,0.236197053,0.169587296,0.000000000,1.000000000,3.291703098,0.004687418,0.403617641,0.000725163,0.013052937,2.331409969,0.493836113,0.018476885,0.260034976,0.007251632,0.036258158,0.000000000,0.014118333,0.230108761,0.006526468,0.026831037,2.892142316,0.111220561,0.240059132,0.058558559,0.272727273,2.300984688,0.020000000,0.412890073,0.568633294,0.000668893,1.000000000,0.732943897,0.092411960,0.618925948,0.222853484,0.395547853,0.092379997,0.608378884,0.004159296,0.286279768,0.168771602,0.030526420,0.122359421,0.051820382,0.078972877,0.000000000,0.261795598,0.151178077,1.147655439,-0.000000000,0.483870968,0.470219436,2.640000000,0.000000000,0.000000000,0.021943574,0.122257053,0.122257053,0.000000000,10.350800000,0.369827000,71.665300000,0.087559600,72.000000000,64.000000000,80.000000000,0.995979000,0.205290000,0.859420000,0.044459200,2.260000000,8.715620000,0.323483000,71.621500000,0.085222000,72.000000000,64.000000000,79.000000000,0.431652000,0.398349000,0.850635000,0.040830400,2.640000000,0.346450371,0.615721230,2.000000000
instances/sat/data/K3-CSSC14/instances/Sat_Data/K3-inst/k3-v275-c1172/unif-v275-c1172-524-S801136951.cnf,275.000000000,1172.000000000,270.000000000,1166.000000000,0.018518519,0.005145798,0.000000000,0.231560892,0.497284162,0.584529570,0.000000000,1.000000000,0.691766333,0.011212756,0.053964333,0.011111111,0.014814815,0.125742684,0.000000000,0.000000000,0.972555746,0.000000000,0.011212756,0.280396022,0.004288165,0.028301887,2.623092816,0.231782451,0.168853337,0.000000000,0.733333333,3.257223920,0.005924020,0.383707839,0.000857633,0.013722127,2.356034866,0.530017153,0.021656820,0.268402188,0.009433962,0.053173242,0.000000000,0.016820197,0.246686280,0.007718696,0.033447684,2.946573494,0.112969206,0.238397586,0.052564103,0.236363636,2.345343554,0.020000000,0.393368951,0.590807373,0.001521084,0.961274160,0.719275276,0.085879710,0.569503222,0.198658549,0.387232012,0.087797890,0.587692538,0.006224536,0.285039161,0.162680837,0.027621825,0.120915603,0.048981913,0.079398213,0.000000000,0.191452258,0.160164609,1.095197676,0.000000000,0.500000000,0.437037037,1.700000000,0.000000000,0.000000000,0.003703704,0.125925926,0.125925926,0.000000000,9.480760000,0.382023000,60.458400000,0.094384900,60.000000000,53.000000000,68.000000000,1.016180000,0.208989000,0.859441000,0.048074300,2.440000000,7.954080000,0.327424000,60.587700000,0.095173800,60.000000000,53.000000000,68.000000000,0.472096000,0.401949000,0.849804000,0.045451800,2.600000000,0.362287634,0.645899767,2.000000000
