instances/sat/data/LABS-CSSC14/INSTANCE_NAME,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-coeff-variation,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n011_goal004.cnf, 816.000000000,1724.000000000,739.000000000,1647.000000000,0.104194858,0.046751670,0.000000000,0.448694596,0.318154220,1.125776283,0.000000000,1.000000000,1.043774849,0.003253547,0.204115710,0.002706360,0.004059540,0.674744426,0.000000000,0.595628415,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.406440237,0.790199715,0.000000019,1.000000000,0.921662364,0.027958698,0.666666742,0.131477419,0.325475931,0.211662361,0.550043490,0.000000000,0.473056154,0.334599977,0.000000000,0.295533085,0.109350694,0.267220556,0.010000000,6.553890000,0.805563000,189.927000000,0.053068200,189.000000000,177.000000000,203.000000000,0.603248000,0.150631000,0.839865000,0.027107400,2.130000000,8.740200000,0.425451000,189.417000000,0.052355100,190.000000000,177.000000000,202.000000000,0.237361000,0.303092000,0.844506000,0.024348600,2.420000000,0.479750329,0.902171452,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n011_goal010.cnf, 616.000000000,1379.000000000,576.000000000,1339.000000000,0.069444444,0.029873040,0.000000000,0.430171770,0.329350261,1.110419826,0.000000000,1.000000000,1.053798612,0.004161999,0.204120936,0.003472222,0.005208333,0.671906474,0.000000000,0.602688574,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.433255737,0.738738338,0.000000160,1.000000000,0.874873331,0.041314283,0.666667256,0.124872589,0.331562616,0.220298254,0.523487983,0.000000000,0.475738096,0.361796174,0.054856197,0.302969217,0.157894602,0.276315720,0.010000000,0.148823000,4.841680000,170.145000000,0.066198000,170.000000000,156.000000000,184.000000000,0.946645000,0.150752000,0.908222000,0.025817300,2.120000000,1.853820000,0.862160000,169.667000000,0.067486400,170.000000000,155.000000000,184.000000000,0.387698000,0.319814000,0.912791000,0.024285900,2.370000000,0.749138185,0.933903477,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n012_goal001.cnf, 1137.000000000,2399.000000000,1011.000000000,2273.000000000,0.124629080,0.055433348,0.000000000,0.444786626,0.305763308,1.159757454,0.000000000,1.000000000,1.035162295,0.002367273,0.204104224,0.001978239,0.002967359,0.670206902,0.000000000,0.606687198,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010000000,0.409387634,0.799654205,0.000000004,1.000000000,1.000000000,0.028146112,0.666666682,0.140984078,0.294611105,0.195414991,0.565365062,0.000000000,0.374956522,0.298120587,0.000000000,0.281834745,0.097340704,0.251057230,0.020000000,21.840000000,0.396549000,251.010000000,0.048017500,251.000000000,235.000000000,266.000000000,0.530981000,0.165625000,0.813020000,0.027158700,2.110000000,17.923400000,0.316814000,250.390000000,0.046388900,251.000000000,235.000000000,265.000000000,0.175977000,0.304000000,0.804587000,0.023484700,2.360000000,0.307454378,0.722408091,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n013_goal002.cnf, 1401.000000000,2942.000000000,1263.000000000,2804.000000000,0.109263658,0.049215407,0.000000000,0.450427960,0.297907751,1.163579699,0.000000000,1.000000000,1.025379533,0.001903739,0.204115514,0.001583531,0.002375297,0.674764044,0.000000000,0.595577746,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.387558919,0.838215514,0.000000003,1.000000000,0.928879772,0.023062789,0.587123528,0.115813302,0.269510887,0.204497084,0.539305936,0.000000000,0.398767095,0.300281892,0.000000000,0.285877832,0.098656366,0.256273276,0.020000000,20.437500000,1.078150000,305.233000000,0.055564900,305.000000000,289.000000000,322.000000000,0.499156000,0.173658000,0.806216000,0.043899500,2.090000000,18.805300000,0.400849000,305.709000000,0.055107600,306.000000000,289.000000000,323.000000000,0.165034000,0.406069000,0.806497000,0.030807600,2.340000000,0.324225429,0.894470854,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n015_goal008.cnf, 1773.000000000,3732.000000000,1653.000000000,3612.000000000,0.072595281,0.033222591,0.000000000,0.457641196,0.293189369,1.148915665,0.000000000,1.000000000,1.014503876,0.001467180,0.203847400,0.001209921,0.001814882,0.681929801,0.000000000,0.574750831,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.348027119,0.920287894,0.000000000,1.000000000,0.897186719,0.012504244,0.599274677,0.066292134,0.265808856,0.230618568,0.482351228,-0.000000000,0.475722503,0.354456515,0.047285105,0.296470509,0.139137928,0.283816811,0.030000000,7.566670000,1.625100000,400.788000000,0.055621900,402.000000000,382.000000000,419.000000000,0.577023000,0.139536000,0.840866000,0.041669800,2.090000000,11.729600000,0.324662000,402.998000000,0.036869300,403.000000000,384.000000000,421.000000000,0.169619000,0.266111000,0.845457000,0.017522400,2.290000000,0.433926087,0.930665881,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n018_goal001.cnf, 3567.000000000,7430.000000000,3270.000000000,7133.000000000,0.090825688,0.041637460,0.000000000,0.458432637,0.268610683,1.199649916,0.000000000,1.000000000,0.988261224,0.000739724,0.203968344,0.000611621,0.000917431,0.679933837,0.000000000,0.581101921,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.100000000,0.345125241,0.920373479,0.000000000,1.000000000,0.928978275,0.010640219,0.491210133,0.085248689,0.247629050,0.212335889,0.492856410,-0.000000000,0.374956522,0.300124798,0.032151004,0.283778762,0.112082784,0.255846857,0.070000000,65.697800000,1.091560000,721.525000000,0.090333700,727.000000000,698.000000000,753.000000000,0.443390000,0.430259000,0.791629000,0.199389000,2.060000000,43.494000000,1.488370000,722.934000000,0.083115000,727.000000000,701.000000000,753.000000000,0.110291000,1.825200000,0.776489000,0.158764000,2.300000000,0.222990276,0.703527703,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n019_goal002.cnf, 4125.000000000,8567.000000000,3810.000000000,8252.000000000,0.082677165,0.038172564,0.000000000,0.461706253,0.264218775,1.198888324,0.000000000,1.000000000,0.980381186,0.000636575,0.203845176,0.000524934,0.000787402,0.681960587,0.000000000,0.574648570,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,4036.000000000,0.000000000,4036.000000000,4036.000000000,4036.000000000,4036.000000000,4036.000000000,4036.000000000,4036.000000000,35.673686819,0.000000000,35.673686819,35.673686819,35.673686819,35.673686819,35.673686819,35.673686819,35.673686819,1.060000000,0.330253749,0.954078145,0.000000000,1.000000000,0.920824437,0.007759294,0.480696865,0.061610752,0.231250273,0.217740319,0.476849689,-0.000000000,0.398767095,0.301572930,0.034703408,0.285404369,0.133570846,0.259375153,0.090000000,64.731500000,0.309989000,839.639000000,0.026800700,840.000000000,810.000000000,871.000000000,0.444135000,0.166421000,0.782574000,0.020834400,2.050000000,38.765600000,0.245908000,839.086000000,0.024350700,838.000000000,812.000000000,864.000000000,0.088321000,0.265513000,0.768089000,0.014787400,2.270000000,0.232421414,0.671222025,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n019_goal005.cnf, 3941.000000000,8172.000000000,3675.000000000,7906.000000000,0.072380952,0.033645333,0.000000000,0.464836833,0.265663209,1.186963364,0.000000000,1.000000000,0.979548187,0.000661927,0.203665861,0.000544218,0.000816327,0.684029290,0.000000000,0.567417152,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010000000,0.315642123,0.992680861,0.000000000,1.000000000,0.909552539,0.006541853,0.475550800,0.047855093,0.217483388,0.226021780,0.460402073,-0.000000000,0.473056171,0.303747366,0.041557486,0.288795377,0.147345192,0.278027957,0.080000000,50.991800000,2.238320000,802.885000000,0.094907100,808.000000000,781.000000000,834.000000000,0.480261000,0.944822000,0.825743000,0.459345000,2.060000000,37.430500000,0.938356000,804.616000000,0.086285600,808.000000000,782.000000000,837.000000000,0.111728000,1.117050000,0.792232000,0.064096300,2.260000000,0.262384133,0.930384116,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n019_goal006.cnf, 3853.000000000,7994.000000000,3603.000000000,7744.000000000,0.069386622,0.032283058,0.000000000,0.465263430,0.266701102,1.183057722,0.000000000,1.000000000,0.980238339,0.000675588,0.203621525,0.000555093,0.000832639,0.684447519,0.000000000,0.565857438,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010000000,0.311655088,1.005496879,0.000000000,1.000000000,0.897229257,0.006897240,0.473963627,0.046578918,0.211813471,0.228582796,0.455392602,-0.000000000,0.399927168,0.305921179,0.047275316,0.289384078,0.157894737,0.281130075,0.080000000,38.457400000,1.838770000,791.023000000,0.092350600,797.000000000,770.000000000,821.000000000,0.457604000,0.353146000,0.805655000,0.143646000,2.050000000,32.056200000,0.418033000,800.362000000,0.024705200,799.000000000,774.000000000,825.000000000,0.112248000,0.471246000,0.796474000,0.016585800,2.240000000,0.272756022,0.933283021,2.000000000
instances/sat/data/LABS-CSSC14/instances/Sat_Data/LABS/LABS_n020_goal002.cnf, 4778.000000000,9910.000000000,4426.000000000,9558.000000000,0.079530050,0.036827788,0.000000000,0.463067587,0.260235754,1.201961294,0.000000000,1.000000000,0.974073329,0.000548557,0.203786598,0.000451875,0.000677813,0.682718031,0.000000000,0.572086211,1.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,-512.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.090000000,0.322042855,0.974854879,0.000000000,1.000000000,0.919828373,0.006031116,0.478758765,0.053660525,0.220694946,0.219642375,0.468994601,-0.000000000,0.398767095,0.301642656,0.036239264,0.285554375,0.143377506,0.260567929,0.110000000,68.814800000,0.359379000,962.617000000,0.021586500,963.000000000,938.000000000,994.000000000,0.419615000,0.153404000,0.774507000,0.017787000,2.050000000,48.929300000,1.238930000,944.626000000,0.104441000,954.000000000,923.000000000,987.000000000,0.092085000,1.713870000,0.768758000,0.094655000,2.300000000,0.222748713,0.685429135,2.000000000
