instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-02-S2131699517.cnf,600.000000000,2556.000000000,586.000000000,2541.000000000,0.023890785,0.005903188,0.000000000,0.230617867,0.501049456,0.587816813,0.000000000,1.000000000,0.736311928,0.005188627,0.068063098,0.005119454,0.008532423,0.171136225,0.000000000,0.000000000,0.961432507,0.000000000,0.005188627,0.291140437,0.001967729,0.011806375,2.707065571,0.219128654,0.161860920,0.000000000,0.733333333,3.307581887,0.002517753,0.410535466,0.000393546,0.006690279,2.331990340,0.487603306,0.010298007,0.289718936,0.003935458,0.023219205,0.000000000,0.007861624,0.240517402,0.002754821,0.017316017,2.942442305,0.105940450,0.235736765,0.047474747,0.250000000,2.265005366,0.040000000,0.389512383,0.580186893,0.000416461,0.918611419,0.694153558,0.081216624,0.561193051,0.204800100,0.378162802,0.088141266,0.649793976,0.005584691,0.305556445,0.164865403,0.025851196,0.113503574,0.046017431,0.077115154,0.020000000,0.250672674,0.158576505,1.043703640,0.000000000,0.498795181,0.377133106,30.940000000,0.000000000,0.000000000,0.005119454,0.278156997,0.278156997,0.000000000,20.655300000,0.261811000,129.331000000,0.064759700,129.000000000,119.000000000,140.000000000,0.902811000,0.208497000,0.854732000,0.033670900,2.280000000,16.360000000,0.241606000,129.209000000,0.063831800,129.000000000,118.000000000,140.000000000,0.302181000,0.356152000,0.842318000,0.031430300,2.640000000,0.311244161,0.545315436,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-04-S1601164081.cnf,600.000000000,2556.000000000,580.000000000,2538.000000000,0.034482759,0.007092199,0.000000000,0.228526399,0.498003677,0.588892790,0.000000000,1.000000000,0.766652691,0.005262765,0.074722109,0.005172414,0.008620690,0.207719376,0.000000000,0.000000000,0.948778566,0.000000000,0.005262765,0.292766085,0.001576044,0.012608353,2.715568800,0.244404178,0.176533141,0.000000000,1.000000000,3.339806957,0.002595038,0.382485728,0.000394011,0.007880221,2.293240425,0.496059890,0.010495639,0.292627794,0.003152088,0.024034673,0.000000000,0.007877116,0.259359180,0.002364066,0.016548463,3.020699204,0.106577812,0.253160608,0.048726467,0.285714286,2.341041644,0.040000000,0.412147172,0.574331582,0.000695178,1.000000000,0.741426072,0.092160661,0.613414858,0.220623739,0.406703276,0.098092615,0.652026275,0.003528255,0.445779364,0.189637053,0.032751321,0.132816143,0.049714640,0.083086611,0.020000000,0.270866168,0.151149425,1.140944204,0.000000000,0.500000000,0.491379310,22.240000000,0.000000000,0.000000000,0.017241379,0.205172414,0.205172414,0.000000000,15.349800000,0.366429000,128.899000000,0.064667300,129.000000000,118.000000000,140.000000000,0.889786000,0.218270000,0.855635000,0.032843000,2.200000000,12.885200000,0.307655000,128.837000000,0.065311000,129.000000000,118.000000000,140.000000000,0.310115000,0.354839000,0.848112000,0.030024900,2.560000000,0.317968529,0.529132354,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-06-S1984058587.cnf,600.000000000,2556.000000000,589.000000000,2541.000000000,0.018675722,0.005903188,0.000000000,0.231798505,0.500262364,0.586470427,0.000000000,1.000000000,0.676983963,0.005132800,0.049814135,0.005093379,0.006791171,0.110316185,0.000000000,0.000000000,0.976780795,0.000000000,0.005132800,0.272940122,0.001967729,0.010625738,2.661487404,0.225854926,0.167454491,0.000000000,1.000000000,3.339140168,0.002516288,0.400618147,0.000000000,0.006690279,2.335027900,0.490751673,0.010103905,0.270116969,0.003935458,0.021645022,0.000000000,0.007694665,0.231387430,0.002754821,0.014561196,2.903344059,0.107725562,0.237426773,0.055476529,0.288888889,2.266271930,0.040000000,0.396095699,0.573028678,0.001713348,1.000000000,0.711588582,0.090861169,0.570580850,0.193800180,0.392916555,0.085682819,0.641309246,0.005768428,0.320766919,0.166580111,0.026785583,0.108834713,0.046052412,0.072848012,0.020000000,0.254517651,0.164764595,1.025915284,0.000000000,0.499141975,0.373514431,26.380000000,0.000000000,0.000000000,0.003395586,0.314091681,0.314091681,0.000000000,21.904000000,0.238167000,130.277000000,0.064566900,130.000000000,119.000000000,141.000000000,0.900161000,0.199900000,0.854477000,0.032492300,2.280000000,17.225600000,0.221662000,130.558000000,0.064776800,130.000000000,120.000000000,141.000000000,0.308647000,0.356266000,0.841543000,0.030483100,2.540000000,0.312700645,0.529041733,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-07-S1760105604.cnf,600.000000000,2556.000000000,592.000000000,2549.000000000,0.013513514,0.002746175,0.000000000,0.232247940,0.501543089,0.579778916,0.000000000,1.000000000,0.639983042,0.005096063,0.043685367,0.005067568,0.008445946,0.085845736,0.000000000,0.000000000,0.983522950,0.000000000,0.005096063,0.263845662,0.001569243,0.009415457,2.633613314,0.232849628,0.168619908,0.000000000,1.000000000,3.345872482,0.002529476,0.375839229,0.000392311,0.005884661,2.283609899,0.496273048,0.010017177,0.259170800,0.003138486,0.019223225,0.000000000,0.007597192,0.224297222,0.002353864,0.014123186,2.872404072,0.108169854,0.238620977,0.055555556,0.285714286,2.259033908,0.040000000,0.406069995,0.572206288,0.001380142,1.000000000,0.714018876,0.087485984,0.589409024,0.211849099,0.400422070,0.087922953,0.653669323,0.006258521,0.380139225,0.166767485,0.029185055,0.115661936,0.046654292,0.072374988,0.020000000,0.236384195,0.161512800,1.102333576,0.000000000,0.498475336,0.417229730,26.460000000,0.000000000,0.000000000,0.005067568,0.180743243,0.180743243,0.000000000,20.424600000,0.251482000,131.876000000,0.065033300,132.000000000,121.000000000,143.000000000,0.907217000,0.208075000,0.856684000,0.032572500,2.320000000,16.134000000,0.235930000,131.768000000,0.063119200,132.000000000,121.000000000,142.000000000,0.305990000,0.362907000,0.843920000,0.029926600,2.640000000,0.316351508,0.563158960,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-20-S1093943599.cnf,600.000000000,2556.000000000,585.000000000,2541.000000000,0.025641026,0.005903188,0.000000000,0.230224321,0.498333989,0.589416603,0.000000000,1.000000000,0.742443794,0.005200187,0.066660586,0.005128205,0.008547009,0.175586382,0.000000000,0.000000000,0.958284140,0.000000000,0.005200187,0.281957872,0.001967729,0.012199921,2.673945231,0.231221417,0.174974991,0.000000000,1.000000000,3.369446578,0.002504566,0.394500666,0.000393546,0.006296734,2.303161588,0.484848485,0.010355974,0.279715057,0.003935458,0.023219205,0.000000000,0.007818878,0.242801260,0.003148367,0.014954742,2.961967826,0.105592561,0.240919138,0.053981107,0.250000000,2.269881649,0.040000000,0.402976687,0.574481177,0.000481795,1.000000000,0.726463271,0.087614354,0.586200604,0.212334147,0.398780810,0.091679961,0.630702631,0.004844949,0.319050466,0.177516433,0.030922281,0.125804317,0.046797136,0.078221183,0.020000000,0.276778480,0.150578180,1.118177005,0.000000000,0.470588235,0.451282051,29.340000000,0.000000000,0.000000000,0.001709402,0.229059829,0.229059829,0.000000000,17.691100000,0.414959000,129.818000000,0.067788600,130.000000000,119.000000000,141.000000000,0.893680000,0.209105000,0.853872000,0.037316600,2.360000000,14.243100000,0.264259000,129.978000000,0.063753600,130.000000000,119.000000000,140.000000000,0.307447000,0.353791000,0.843963000,0.031046200,2.640000000,0.319611543,0.564818139,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-23-S1069944763.cnf,600.000000000,2556.000000000,590.000000000,2546.000000000,0.016949153,0.003927730,0.000000000,0.231736057,0.501060487,0.587893453,0.000000000,1.000000000,0.687015438,0.005130680,0.054434864,0.005084746,0.008474576,0.125154857,0.000000000,0.000000000,0.973291438,0.000000000,0.005130680,0.282996034,0.001963865,0.011390416,2.679740930,0.224696950,0.164455256,0.000000000,1.000000000,3.320390017,0.002491113,0.396590174,0.000392773,0.007069914,2.286769509,0.487431265,0.010134874,0.281420393,0.003927730,0.022388060,0.000000000,0.007749630,0.227391813,0.002749411,0.017282011,2.896369057,0.106296131,0.234893680,0.048484848,0.290909091,2.233188282,0.040000000,0.401425424,0.580316569,0.000475258,1.000000000,0.727386224,0.088006780,0.577452021,0.213579691,0.390247837,0.090325232,0.661403810,0.005609672,0.315277416,0.177252421,0.028424724,0.120798497,0.044887947,0.076140859,0.020000000,0.274489800,0.147386848,1.193448292,0.000000000,0.498953166,0.457627119,33.300000000,0.000000000,0.000000000,0.015254237,0.288135593,0.288135593,0.000000000,18.438800000,0.319184000,131.441000000,0.065704900,131.000000000,121.000000000,142.000000000,0.888237000,0.215457000,0.853800000,0.039389900,2.300000000,15.001000000,0.262634000,131.475000000,0.065639000,131.000000000,121.000000000,142.000000000,0.311463000,0.362396000,0.842180000,0.031516000,2.480000000,0.314441590,0.550378095,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-25-S1557330952.cnf,600.000000000,2556.000000000,585.000000000,2541.000000000,0.025641026,0.005903188,0.000000000,0.230224321,0.485438804,0.591172862,0.000000000,1.000000000,0.721116786,0.005203551,0.072294690,0.005128205,0.008547009,0.181984121,0.000000000,0.000000000,0.959071232,0.000000000,0.005203551,0.284345938,0.002361275,0.012593467,2.670528965,0.222822983,0.164115710,0.000000000,1.000000000,3.325970968,0.002468239,0.380512283,0.000393546,0.005903188,2.263378320,0.478945297,0.010349247,0.283712961,0.004329004,0.024793388,0.000000000,0.007889812,0.240354840,0.003148367,0.015741834,2.952758904,0.105377402,0.241898713,0.052564103,0.257142857,2.278382733,0.040000000,0.392590790,0.580812819,0.000546798,1.000000000,0.707392081,0.075302124,0.568330633,0.212317578,0.385835495,0.085738161,0.635702444,0.003215775,0.364001318,0.153683460,0.026609256,0.116995203,0.044440278,0.075248859,0.020000000,0.270196262,0.161280094,1.119406867,0.000000000,0.500000000,0.429059829,33.480000000,0.000000000,0.000000000,0.000000000,0.066666667,0.246153846,0.000000000,20.423700000,0.269812000,129.584000000,0.064143100,129.000000000,119.000000000,140.000000000,0.887349000,0.207484000,0.850590000,0.033209300,2.300000000,16.180500000,0.266556000,129.537000000,0.067533700,130.000000000,119.000000000,140.000000000,0.302748000,0.393952000,0.838710000,0.033438000,2.680000000,0.311005710,0.529946031,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-27-S873939002.cnf,600.000000000,2556.000000000,592.000000000,2548.000000000,0.013513514,0.003139717,0.000000000,0.232339089,0.489207221,0.580213271,0.000000000,1.000000000,0.664104962,0.005110659,0.052113110,0.005067568,0.006756757,0.118770709,0.000000000,0.000000000,0.974489796,0.000000000,0.005110659,0.291032578,0.001569859,0.012558870,2.682087166,0.230876852,0.166549609,0.000000000,1.000000000,3.281521068,0.002508592,0.375429496,0.000392465,0.006279435,2.265417243,0.493328100,0.010091381,0.286839219,0.003139717,0.023940345,0.000000000,0.007741474,0.240339130,0.003139717,0.017660911,2.946300059,0.107200165,0.240843041,0.045410628,0.288888889,2.287405301,0.040000000,0.408541338,0.556376106,0.001012627,1.000000000,0.702589306,0.089998672,0.585636199,0.213650975,0.424438603,0.089482303,0.647966920,0.003532830,0.311040071,0.169484877,0.027899961,0.122036994,0.046378437,0.078228908,0.020000000,0.261255089,0.151024966,1.216877679,0.000000000,0.500000000,0.483108108,26.060000000,0.000000000,0.000000000,0.000000000,0.069256757,0.069256757,0.000000000,18.818100000,0.296398000,131.596000000,0.064176300,132.000000000,121.000000000,143.000000000,0.879433000,0.210837000,0.849423000,0.033899600,2.280000000,15.510000000,0.498196000,131.442000000,0.069645600,131.000000000,120.000000000,143.000000000,0.302147000,0.355533000,0.838810000,0.038648600,2.620000000,0.309730408,0.534517384,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-29-S124815452.cnf,600.000000000,2556.000000000,586.000000000,2541.000000000,0.023890785,0.005903188,0.000000000,0.230617867,0.484940312,0.585221639,0.000000000,1.000000000,0.688616091,0.005173852,0.061525658,0.005119454,0.008532423,0.141683692,0.000000000,0.000000000,0.970090516,0.000000000,0.005173852,0.289036776,0.001967729,0.011412830,2.704340484,0.222626766,0.170285118,0.000000000,1.000000000,3.316405486,0.002496263,0.377847833,0.000000000,0.007870917,2.255986517,0.485242031,0.010250996,0.285732169,0.003935458,0.022038567,0.000000000,0.007897556,0.236853759,0.003148367,0.016528926,2.956088017,0.105432395,0.241293211,0.048726467,0.246666667,2.263758728,0.040000000,0.396076260,0.584515218,0.000595387,1.000000000,0.722110479,0.089722172,0.575706251,0.200981410,0.389325023,0.085140163,0.629594623,0.002556289,0.315803331,0.162016373,0.028009314,0.116645651,0.044673883,0.072746237,0.020000000,0.269083006,0.162002497,1.064894282,0.000000000,0.496127580,0.411262799,30.000000000,0.000000000,0.000000000,0.006825939,0.223549488,0.223549488,0.000000000,20.020300000,0.288604000,130.488000000,0.068102300,130.000000000,120.000000000,142.000000000,0.888571000,0.211770000,0.850602000,0.035043800,2.320000000,15.958600000,0.258431000,130.561000000,0.063540800,130.500000000,120.000000000,141.000000000,0.307045000,0.379765000,0.839101000,0.031676300,2.580000000,0.309976802,0.543315263,2.000000000
instances/sat/data/k3-r4_26-v600/unif-r4.26-v600-c2556.0-33-S228956632.cnf,600.000000000,2556.000000000,588.000000000,2544.000000000,0.020408163,0.004716981,0.000000000,0.231132075,0.491758386,0.593490943,0.000000000,1.000000000,0.723300493,0.005170897,0.065477589,0.005102041,0.008503401,0.170452989,0.000000000,0.000000000,0.959905660,0.000000000,0.005170897,0.302434449,0.001179245,0.012578616,2.710653449,0.229037834,0.174443363,0.000000000,1.000000000,3.300824221,0.002577092,0.397685167,0.000000000,0.008647799,2.328415322,0.500786164,0.010260236,0.300667426,0.002358491,0.024371069,0.000000000,0.007855764,0.261551851,0.002751572,0.020047170,3.010350504,0.106556119,0.254441403,0.041478130,0.305555556,2.315506889,0.040000000,0.396485172,0.577752439,0.000989503,1.000000000,0.723959726,0.081797139,0.558282077,0.224902549,0.379172126,0.092657432,0.658429937,0.003892064,0.384167728,0.174329971,0.028382305,0.128914789,0.047550244,0.078119887,0.020000000,0.229454523,0.149180445,1.092279204,0.000000000,0.497929004,0.426870748,24.380000000,0.000000000,0.000000000,0.005102041,0.185374150,0.185374150,0.000000000,19.297900000,0.260485000,129.709000000,0.064493000,130.000000000,119.000000000,141.000000000,0.905932000,0.203738000,0.856403000,0.032010700,2.320000000,15.616300000,0.258249000,129.370000000,0.068641200,129.000000000,119.000000000,141.000000000,0.310911000,0.384153000,0.844856000,0.034631400,2.680000000,0.314215548,0.556806009,2.000000000
