scenario,configurator,partition,hypervolume,igdp,runsize,sample
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1856295173062223,0.01993154818717977,1,0
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1859463642059542,0.016374919473841284,1,1
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1830996583447013,0.020175888167343666,1,2
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.187276154074772,0.02543982720860832,1,3
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.18481659203086,0.018520627680841534,1,4
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1832698545618774,0.025254261029767817,1,5
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1871198876257423,0.013541625452172851,1,6
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1915734128189484,0.020838009542223052,1,7
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1860949234002074,0.015303773501006987,1,8
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1768314650467808,0.029665817875104108,1,9
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1868678801083732,0.016164026401424187,1,10
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1851262776487246,0.01959601856483147,1,11
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1848480691785512,0.020887578505015242,1,12
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1908279553715941,0.01966731166497388,1,13
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1897298577271038,0.023242884394437297,1,14
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1857591401495868,0.01834086374272098,1,15
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1920730391195538,0.012881869800153307,1,16
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1871966978491055,0.014745893684339494,1,17
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1817114578224315,0.020495732278677476,1,18
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PHVI,validate,1.1823474794156874,0.019050577063203986,1,19
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.183382772419401,0.02139458254059632,1,0
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1823065315646097,0.02555930451846103,1,1
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1755156992156557,0.029088716102362733,1,2
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1809253918613125,0.023590943172096635,1,3
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1790621219090567,0.0264471186267164,1,4
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1844765820276415,0.019736920487915817,1,5
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1801704665322053,0.02382820458637999,1,6
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1837756514887845,0.028190229268438283,1,7
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1764704518143119,0.028561772799969652,1,8
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1773869474268237,0.028564450012926623,1,9
MIP_CPLEX_REGIONS200_CONT_runtime,MO-SMAC-PE,validate,1.1784386706687024,0.02790677962913434,1,10
