scenario,configurator,partition,hypervolume,igdp,runsize,sample
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.013399341763214,0.014393051686841395,1,0
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.056526543154065,0.008577676033741464,1,1
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0346289815288194,0.012713548097584597,1,2
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.014623268318534,0.013180807830023627,1,3
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.016386537660127,0.014745005688111486,1,4
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,0.928812137948684,0.11935903086519906,1,5
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,0.95927568362237,0.11986041031780928,1,6
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0142641584277317,0.01293184227642248,1,7
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0601804507121577,0.011294815278831959,1,8
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0271092642610615,0.01299236615940873,1,9
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0164554028389328,0.008321864380375884,1,10
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,0.9729013121898026,0.05894640224116527,1,11
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0012210854495829,0.03349935238564552,1,12
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0236775515589358,0.012927325653561132,1,13
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0375563954025364,0.005583115484111517,1,14
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0009736680768755,0.03180763462075033,1,15
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.021406673971116,0.014353351327822094,1,16
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.020695903546568,0.013491316736856116,1,17
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0172156994248467,0.008743865567486147,1,18
ML_RF_STUDENTS_precision_recall,MO-SMAC-PHVI,validate,1.0301063880406764,0.005760685961532848,1,19
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,0.9990929569863106,0.01732701408261668,1,0
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0187441269188147,0.014801599283813145,1,1
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,0.9922296133557686,0.057161217428893324,1,2
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0259123657031068,0.014501562594550241,1,3
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.026448971416225,0.009301443814867832,1,4
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0182097406745987,0.013156940458362562,1,5
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0114063148789332,0.01494892356952783,1,6
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,0.9991992882582769,0.01655852493474875,1,7
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,0.9495428024971561,0.10439981068852494,1,8
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0213232379797397,0.02162612488207688,1,9
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,0.9227313847807954,0.12535722643674851,1,10
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0125650905887595,0.017905445841798234,1,11
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0141569515627396,0.015545695276821628,1,12
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0130646292411263,0.014019006055301021,1,13
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0445335397459088,0.0141820450117434,1,14
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0476399932128175,0.03316871677978789,1,15
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0056881542407492,0.015858087504360022,1,16
ML_RF_STUDENTS_precision_recall,MO-SMAC-PE,validate,1.0428027596555933,0.014385174958670166,1,17
